price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,348,417",1348417.0,"334 Ocean Rd, Warriewood NSW 2672",Warriewood,0,1,0,Studio,https://www.realestateview.com.au/property/warriewood/studio-0,realestateview.com.au
"From $831,110",831110.0,"779 Victoria St, Warriewood NSW 2227",Warriewood,4,1,0,Townhouse,https://www.rent.com.au/property/warriewood/townhouse-1,rent.com.au
"$893,105 - $1,099,829",893105.0,"380 George St, Warriewood NSW 2102",Warriewood,4,3,1,Penthouse,https://www.rent.com.au/property/warriewood/penthouse-2,rent.com.au
"$851,903",851903.0,"660 Market St, Warriewood NSW 2310",Warriewood,0,1,2,Studio,https://www.realestateview.com.au/property/warriewood/studio-3,realestateview.com.au
"Guide $1,258,927",1258927.0,"614 Church St, Warriewood NSW 2613",Warriewood,3,4,2,House,https://www.rent.com.au/property/warriewood/house-4,rent.com.au
"$588,838 ONO",588838.0,"322 The Boulevarde, Warriewood NSW 2628",Warriewood,0,1,1,Studio,https://www.realestate.com.au/property/warriewood/studio-5,realestate.com.au
"Guide $1,767,991",1767991.0,"345 High St, Warriewood NSW 2599",Warriewood,0,1,2,Studio,https://www.realestateview.com.au/property/warriewood/studio-6,realestateview.com.au
"$1,323,306 - $1,589,394",1323306.0,"121 James St, Warriewood NSW 2164",Warriewood,3,3,1,Penthouse,https://www.domain.com.au/property/warriewood/penthouse-7,domain.com.au
"$2,498,061",2498061.0,"53 Church St, Warriewood NSW 2047",Warriewood,2,1,0,House,https://www.realestate.com.au/property/warriewood/house-8,realestate.com.au
"From $1,137,945",1137945.0,"704 Victoria St, Warriewood NSW 2659",Warriewood,3,4,3,Villa,https://www.realestateview.com.au/property/warriewood/villa-9,realestateview.com.au
"$1,159,579",1159579.0,"970 Military Rd, Warriewood NSW 2848",Warriewood,0,1,0,Studio,https://www.realestateview.com.au/property/warriewood/studio-10,realestateview.com.au
"From $2,027,345",2027345.0,"109 Ocean Rd, Warriewood NSW 2820",Warriewood,1,1,2,Townhouse,https://www.rent.com.au/property/warriewood/townhouse-11,rent.com.au
"From $541,311",541311.0,"519 Albert St, Warriewood NSW 2174",Warriewood,4,3,4,Penthouse,https://www.realestate.com.au/property/warriewood/penthouse-12,realestate.com.au
"$619,215",619215.0,"629 Pacific Highway, Warriewood NSW 2302",Warriewood,4,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/warriewood/apartment--unit--flat-13,rent.com.au
"$2,100,920 ONO",2100920.0,"882 Victoria St, Warriewood NSW 2297",Warriewood,2,2,4,Townhouse,https://www.rent.com.au/property/warriewood/townhouse-14,rent.com.au
"From $871,328",871328.0,"564 William St, Warriewood NSW 2121",Warriewood,5,4,2,Villa,https://www.realestateview.com.au/property/warriewood/villa-15,realestateview.com.au
"Guide $1,642,534",1642534.0,"257 Princes Highway, Warriewood NSW 2902",Warriewood,4,4,1,Penthouse,https://www.realestateview.com.au/property/warriewood/penthouse-16,realestateview.com.au
"$2,174,091 - $2,461,348",2174091.0,"503 King St, Warriewood NSW 2923",Warriewood,2,2,2,Townhouse,https://www.domain.com.au/property/warriewood/townhouse-17,domain.com.au
"Guide $1,584,208",1584208.0,"482 Queen St, Warriewood NSW 2337",Warriewood,1,1,2,House,https://www.realestate.com.au/property/warriewood/house-18,realestate.com.au
"From $1,083,192",1083192.0,"28 George St, Warriewood NSW 2298",Warriewood,2,3,3,House,https://www.domain.com.au/property/warriewood/house-20,domain.com.au
"From $1,683,660",1683660.0,"451 Church St, Warriewood NSW 2037",Warriewood,3,3,2,Townhouse,https://www.realestateview.com.au/property/warriewood/townhouse-21,realestateview.com.au
"From $1,899,730",1899730.0,"834 Military Rd, Warriewood NSW 2214",Warriewood,5,2,3,Villa,https://www.rent.com.au/property/warriewood/villa-22,rent.com.au
"Guide $2,382,933",2382933.0,"337 Main St, Warriewood NSW 2901",Warriewood,0,1,4,Studio,https://www.domain.com.au/property/warriewood/studio-23,domain.com.au
