price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,385,398 - $2,576,647",2385398.0,"342 Victoria St, Warwick Farm NSW 2268",Warwick Farm,2,2,4,House,https://www.realestate.com.au/property/warwick-farm/house-0,realestate.com.au
"$1,814,071 - $2,086,578",1814071.0,"337 Market St, Warwick Farm NSW 2644",Warwick Farm,3,3,4,Penthouse,https://www.realestate.com.au/property/warwick-farm/penthouse-1,realestate.com.au
"$1,850,529 ONO",1850529.0,"944 William St, Warwick Farm NSW 2656",Warwick Farm,3,4,0,Penthouse,https://www.realestateview.com.au/property/warwick-farm/penthouse-2,realestateview.com.au
"$2,053,324 ONO",2053324.0,"428 Elizabeth St, Warwick Farm NSW 2754",Warwick Farm,3,1,2,Townhouse,https://www.realestateview.com.au/property/warwick-farm/townhouse-3,realestateview.com.au
"From $1,543,254",1543254.0,"943 Princes Highway, Warwick Farm NSW 2379",Warwick Farm,2,1,2,Villa,https://www.rent.com.au/property/warwick-farm/villa-4,rent.com.au
"Guide $2,236,726",2236726.0,"690 Albert St, Warwick Farm NSW 2198",Warwick Farm,2,1,2,Townhouse,https://www.realestateview.com.au/property/warwick-farm/townhouse-5,realestateview.com.au
"$1,004,261",1004261.0,"346 Albert St, Warwick Farm NSW 2679",Warwick Farm,1,2,1,Townhouse,https://www.domain.com.au/property/warwick-farm/townhouse-6,domain.com.au
"$1,486,005 - $1,745,818",1486005.0,"323 William St, Warwick Farm NSW 2003",Warwick Farm,4,3,2,Penthouse,https://www.realestate.com.au/property/warwick-farm/penthouse-7,realestate.com.au
"From $548,145",548145.0,"321 William St, Warwick Farm NSW 2426",Warwick Farm,2,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/warwick-farm/apartment--unit--flat-8,realestateview.com.au
"Guide $900,557",900557.0,"814 Church St, Warwick Farm NSW 2780",Warwick Farm,5,3,2,Penthouse,https://www.rent.com.au/property/warwick-farm/penthouse-9,rent.com.au
"$1,548,498 ONO",1548498.0,"537 Ocean Rd, Warwick Farm NSW 2247",Warwick Farm,3,4,3,Villa,https://www.domain.com.au/property/warwick-farm/villa-11,domain.com.au
"Guide $1,807,293",1807293.0,"684 Victoria St, Warwick Farm NSW 2682",Warwick Farm,3,4,1,House,https://www.realestate.com.au/property/warwick-farm/house-12,realestate.com.au
"$748,041",748041.0,"304 Edward St, Warwick Farm NSW 2937",Warwick Farm,3,4,0,House,https://www.realestate.com.au/property/warwick-farm/house-13,realestate.com.au
"Guide $658,642",658642.0,"453 High St, Warwick Farm NSW 2623",Warwick Farm,2,2,1,House,https://www.realestate.com.au/property/warwick-farm/house-14,realestate.com.au
"$2,039,614",2039614.0,"520 King St, Warwick Farm NSW 2562",Warwick Farm,0,1,2,Studio,https://www.realestate.com.au/property/warwick-farm/studio-15,realestate.com.au
"$1,325,740",1325740.0,"915 Railway St, Warwick Farm NSW 2920",Warwick Farm,3,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/warwick-farm/apartment--unit--flat-16,realestateview.com.au
"Guide $1,828,470",1828470.0,"827 Pacific Highway, Warwick Farm NSW 2972",Warwick Farm,3,2,1,House,https://www.realestateview.com.au/property/warwick-farm/house-17,realestateview.com.au
"From $1,307,769",1307769.0,"412 Railway St, Warwick Farm NSW 2504",Warwick Farm,4,4,3,Penthouse,https://www.realestate.com.au/property/warwick-farm/penthouse-18,realestate.com.au
"From $1,000,095",1000095.0,"296 Beach Rd, Warwick Farm NSW 2264",Warwick Farm,2,2,1,Villa,https://www.domain.com.au/property/warwick-farm/villa-19,domain.com.au
"$1,471,471 - $1,524,349",1471471.0,"277 Edward St, Warwick Farm NSW 2243",Warwick Farm,3,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/warwick-farm/apartment--unit--flat-20,domain.com.au
"From $1,323,922",1323922.0,"624 Pacific Highway, Warwick Farm NSW 2075",Warwick Farm,4,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/warwick-farm/apartment--unit--flat-21,realestateview.com.au
"$1,347,836",1347836.0,"202 Princes Highway, Warwick Farm NSW 2333",Warwick Farm,3,3,0,House,https://www.domain.com.au/property/warwick-farm/house-22,domain.com.au
"Guide $763,309",763309.0,"661 High St, Warwick Farm NSW 2830",Warwick Farm,1,2,0,Villa,https://www.domain.com.au/property/warwick-farm/villa-24,domain.com.au
