price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,111,390 - $1,239,620",1111390.0,"829 Main St, Waterfall NSW 2851",Waterfall,5,4,1,Penthouse,https://www.realestate.com.au/property/waterfall/penthouse-0,realestate.com.au
"$2,041,494",2041494.0,"915 Church St, Waterfall NSW 2899",Waterfall,4,2,3,Townhouse,https://www.rent.com.au/property/waterfall/townhouse-1,rent.com.au
"$519,396 - $637,423",519396.0,"687 Elizabeth St, Waterfall NSW 2370",Waterfall,0,1,3,Studio,https://www.realestate.com.au/property/waterfall/studio-2,realestate.com.au
"$2,351,634 ONO",2351634.0,"935 Main St, Waterfall NSW 2220",Waterfall,1,1,0,Villa,https://www.rent.com.au/property/waterfall/villa-3,rent.com.au
"Guide $1,948,713",1948713.0,"4 Railway St, Waterfall NSW 2408",Waterfall,5,2,2,Penthouse,https://www.realestateview.com.au/property/waterfall/penthouse-4,realestateview.com.au
"$1,472,476 ONO",1472476.0,"804 Princes Highway, Waterfall NSW 2026",Waterfall,6,4,2,Penthouse,https://www.domain.com.au/property/waterfall/penthouse-5,domain.com.au
"Guide $1,567,006",1567006.0,"636 William St, Waterfall NSW 2285",Waterfall,2,3,1,House,https://www.realestate.com.au/property/waterfall/house-7,realestate.com.au
"Guide $1,813,191",1813191.0,"232 Main St, Waterfall NSW 2495",Waterfall,5,1,0,Townhouse,https://www.realestateview.com.au/property/waterfall/townhouse-8,realestateview.com.au
"$1,869,428",1869428.0,"483 George St, Waterfall NSW 2574",Waterfall,0,1,3,Studio,https://www.domain.com.au/property/waterfall/studio-9,domain.com.au
"Guide $1,913,669",1913669.0,"428 Park Ave, Waterfall NSW 2625",Waterfall,0,1,0,Studio,https://www.rent.com.au/property/waterfall/studio-11,rent.com.au
"$2,076,894 - $2,169,099",2076894.0,"410 Victoria St, Waterfall NSW 2187",Waterfall,0,1,1,Studio,https://www.domain.com.au/property/waterfall/studio-12,domain.com.au
"$1,868,091",1868091.0,"286 Park Ave, Waterfall NSW 2123",Waterfall,0,1,4,Studio,https://www.domain.com.au/property/waterfall/studio-13,domain.com.au
"$2,084,215 - $2,331,258",2084215.0,"310 William St, Waterfall NSW 2486",Waterfall,0,1,0,Studio,https://www.realestate.com.au/property/waterfall/studio-14,realestate.com.au
"Guide $2,430,565",2430565.0,"780 Main St, Waterfall NSW 2354",Waterfall,2,3,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/waterfall/apartment--unit--flat-15,realestate.com.au
"Guide $1,230,154",1230154.0,"533 Church St, Waterfall NSW 2313",Waterfall,3,4,3,Apartment / Unit / Flat,https://www.rent.com.au/property/waterfall/apartment--unit--flat-16,rent.com.au
"$1,717,524",1717524.0,"156 Victoria St, Waterfall NSW 2891",Waterfall,4,2,2,Villa,https://www.realestate.com.au/property/waterfall/villa-17,realestate.com.au
"$1,350,993 ONO",1350993.0,"533 Princes Highway, Waterfall NSW 2292",Waterfall,4,4,2,Villa,https://www.realestate.com.au/property/waterfall/villa-18,realestate.com.au
"From $2,039,420",2039420.0,"97 High St, Waterfall NSW 2891",Waterfall,0,1,0,Studio,https://www.realestate.com.au/property/waterfall/studio-19,realestate.com.au
"$617,170 - $716,197",617170.0,"349 Railway St, Waterfall NSW 2181",Waterfall,0,1,0,Studio,https://www.domain.com.au/property/waterfall/studio-20,domain.com.au
"$2,185,602 - $2,369,060",2185602.0,"718 Edward St, Waterfall NSW 2585",Waterfall,0,1,1,Studio,https://www.rent.com.au/property/waterfall/studio-21,rent.com.au
"$1,742,998",1742998.0,"54 Beach Rd, Waterfall NSW 2694",Waterfall,0,1,1,Studio,https://www.realestateview.com.au/property/waterfall/studio-23,realestateview.com.au
