price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$654,427 ONO",654427.0,"24 Albert St, Waterloo NSW 2847",Waterloo,6,3,0,Penthouse,https://www.rent.com.au/property/waterloo/penthouse-0,rent.com.au
"$2,223,970 ONO",2223970.0,"379 Queen St, Waterloo NSW 2188",Waterloo,2,1,0,House,https://www.domain.com.au/property/waterloo/house-1,domain.com.au
"$868,550",868550.0,"359 Military Rd, Waterloo NSW 2334",Waterloo,3,2,4,Villa,https://www.realestate.com.au/property/waterloo/villa-2,realestate.com.au
"$2,439,454 ONO",2439454.0,"580 Ocean Rd, Waterloo NSW 2506",Waterloo,4,2,2,Townhouse,https://www.domain.com.au/property/waterloo/townhouse-3,domain.com.au
"Guide $2,087,323",2087323.0,"238 Military Rd, Waterloo NSW 2534",Waterloo,4,4,0,Villa,https://www.realestate.com.au/property/waterloo/villa-5,realestate.com.au
"$1,264,507 ONO",1264507.0,"623 Main St, Waterloo NSW 2763",Waterloo,2,1,1,Villa,https://www.domain.com.au/property/waterloo/villa-6,domain.com.au
"$1,114,273 ONO",1114273.0,"461 Edward St, Waterloo NSW 2001",Waterloo,1,2,0,Villa,https://www.realestate.com.au/property/waterloo/villa-7,realestate.com.au
"$2,242,329",2242329.0,"686 Railway St, Waterloo NSW 2429",Waterloo,0,1,2,Studio,https://www.realestate.com.au/property/waterloo/studio-8,realestate.com.au
"Guide $2,419,082",2419082.0,"639 Albert St, Waterloo NSW 2560",Waterloo,4,4,1,Villa,https://www.rent.com.au/property/waterloo/villa-9,rent.com.au
"$577,535 - $796,778",577535.0,"337 Park Ave, Waterloo NSW 2360",Waterloo,1,2,0,House,https://www.domain.com.au/property/waterloo/house-10,domain.com.au
"From $1,329,500",1329500.0,"68 Beach Rd, Waterloo NSW 2489",Waterloo,2,1,1,House,https://www.domain.com.au/property/waterloo/house-11,domain.com.au
"$1,222,906",1222906.0,"269 King St, Waterloo NSW 2997",Waterloo,2,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/waterloo/apartment--unit--flat-12,realestateview.com.au
"From $2,299,346",2299346.0,"220 Victoria St, Waterloo NSW 2952",Waterloo,2,3,3,Townhouse,https://www.domain.com.au/property/waterloo/townhouse-13,domain.com.au
"Guide $1,850,104",1850104.0,"796 James St, Waterloo NSW 2850",Waterloo,1,1,2,House,https://www.realestateview.com.au/property/waterloo/house-14,realestateview.com.au
"$2,206,473",2206473.0,"878 William St, Waterloo NSW 2500",Waterloo,6,4,0,Penthouse,https://www.domain.com.au/property/waterloo/penthouse-15,domain.com.au
"$2,358,879",2358879.0,"63 King St, Waterloo NSW 2036",Waterloo,5,2,1,House,https://www.domain.com.au/property/waterloo/house-16,domain.com.au
"From $2,067,912",2067912.0,"7 Albert St, Waterloo NSW 2941",Waterloo,3,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/waterloo/apartment--unit--flat-17,realestate.com.au
"From $2,175,884",2175884.0,"609 King St, Waterloo NSW 2852",Waterloo,3,1,0,Townhouse,https://www.rent.com.au/property/waterloo/townhouse-18,rent.com.au
"$2,180,748 ONO",2180748.0,"984 The Boulevarde, Waterloo NSW 2927",Waterloo,4,4,3,Villa,https://www.rent.com.au/property/waterloo/villa-19,rent.com.au
"$535,408",535408.0,"374 Queen St, Waterloo NSW 2773",Waterloo,4,4,3,Villa,https://www.realestateview.com.au/property/waterloo/villa-20,realestateview.com.au
"Guide $2,307,763",2307763.0,"470 Beach Rd, Waterloo NSW 2228",Waterloo,0,1,2,Studio,https://www.realestateview.com.au/property/waterloo/studio-21,realestateview.com.au
"$1,351,718",1351718.0,"163 King St, Waterloo NSW 2246",Waterloo,2,1,1,Townhouse,https://www.rent.com.au/property/waterloo/townhouse-22,rent.com.au
"$1,530,575 - $1,607,344",1530575.0,"309 Princes Highway, Waterloo NSW 2127",Waterloo,3,2,0,House,https://www.domain.com.au/property/waterloo/house-23,domain.com.au
"From $1,402,448",1402448.0,"84 Church St, Waterloo NSW 2380",Waterloo,2,1,2,House,https://www.realestate.com.au/property/waterloo/house-24,realestate.com.au
