price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$559,239 ONO",559239.0,"791 William St, Watsons Bay NSW 2743",Watsons Bay,6,2,3,House,https://www.domain.com.au/property/watsons-bay/house-0,domain.com.au
"$2,334,007 ONO",2334007.0,"80 George St, Watsons Bay NSW 2652",Watsons Bay,0,1,3,Studio,https://www.realestateview.com.au/property/watsons-bay/studio-1,realestateview.com.au
"$1,058,719",1058719.0,"235 Victoria St, Watsons Bay NSW 2580",Watsons Bay,1,1,2,Townhouse,https://www.domain.com.au/property/watsons-bay/townhouse-2,domain.com.au
"From $2,235,873",2235873.0,"961 High St, Watsons Bay NSW 2868",Watsons Bay,0,1,1,Studio,https://www.domain.com.au/property/watsons-bay/studio-3,domain.com.au
"From $1,547,809",1547809.0,"31 Main St, Watsons Bay NSW 2413",Watsons Bay,2,3,2,Apartment / Unit / Flat,https://www.rent.com.au/property/watsons-bay/apartment--unit--flat-5,rent.com.au
"From $1,708,723",1708723.0,"184 Edward St, Watsons Bay NSW 2363",Watsons Bay,1,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/watsons-bay/apartment--unit--flat-7,realestate.com.au
"$2,486,485 ONO",2486485.0,"120 Albert St, Watsons Bay NSW 2293",Watsons Bay,2,3,3,House,https://www.rent.com.au/property/watsons-bay/house-8,rent.com.au
"$798,515 ONO",798515.0,"35 Elizabeth St, Watsons Bay NSW 2461",Watsons Bay,3,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/watsons-bay/apartment--unit--flat-9,realestateview.com.au
"From $2,225,246",2225246.0,"35 Edward St, Watsons Bay NSW 2692",Watsons Bay,0,1,1,Studio,https://www.realestateview.com.au/property/watsons-bay/studio-10,realestateview.com.au
"Guide $1,049,645",1049645.0,"333 The Boulevarde, Watsons Bay NSW 2864",Watsons Bay,0,1,0,Studio,https://www.realestateview.com.au/property/watsons-bay/studio-11,realestateview.com.au
"From $1,417,112",1417112.0,"933 Beach Rd, Watsons Bay NSW 2932",Watsons Bay,5,4,1,House,https://www.realestate.com.au/property/watsons-bay/house-12,realestate.com.au
"From $1,069,584",1069584.0,"352 Princes Highway, Watsons Bay NSW 2412",Watsons Bay,0,1,0,Studio,https://www.domain.com.au/property/watsons-bay/studio-14,domain.com.au
"Guide $1,170,997",1170997.0,"652 Market St, Watsons Bay NSW 2237",Watsons Bay,5,1,0,House,https://www.rent.com.au/property/watsons-bay/house-15,rent.com.au
"$1,048,596 - $1,201,019",1048596.0,"171 Military Rd, Watsons Bay NSW 2036",Watsons Bay,5,2,0,Penthouse,https://www.domain.com.au/property/watsons-bay/penthouse-16,domain.com.au
"Guide $2,363,964",2363964.0,"594 Military Rd, Watsons Bay NSW 2650",Watsons Bay,1,2,2,Villa,https://www.realestateview.com.au/property/watsons-bay/villa-17,realestateview.com.au
"Guide $1,596,717",1596717.0,"508 Main St, Watsons Bay NSW 2669",Watsons Bay,0,1,1,Studio,https://www.rent.com.au/property/watsons-bay/studio-18,rent.com.au
"Guide $1,528,043",1528043.0,"456 James St, Watsons Bay NSW 2750",Watsons Bay,3,2,1,Townhouse,https://www.realestate.com.au/property/watsons-bay/townhouse-19,realestate.com.au
"From $1,024,034",1024034.0,"567 Railway St, Watsons Bay NSW 2594",Watsons Bay,3,2,0,House,https://www.realestateview.com.au/property/watsons-bay/house-20,realestateview.com.au
"$2,189,030 ONO",2189030.0,"735 Church St, Watsons Bay NSW 2879",Watsons Bay,4,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/watsons-bay/apartment--unit--flat-21,realestate.com.au
"$866,590",866590.0,"463 Queen St, Watsons Bay NSW 2940",Watsons Bay,4,3,2,House,https://www.realestateview.com.au/property/watsons-bay/house-22,realestateview.com.au
"$1,232,766 - $1,454,659",1232766.0,"676 High St, Watsons Bay NSW 2006",Watsons Bay,0,1,4,Studio,https://www.realestate.com.au/property/watsons-bay/studio-23,realestate.com.au
"$1,022,622",1022622.0,"112 Market St, Watsons Bay NSW 2451",Watsons Bay,0,1,0,Studio,https://www.rent.com.au/property/watsons-bay/studio-24,rent.com.au
