price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $2,144,763",2144763.0,"231 James St, Wattle Grove NSW 2504",Wattle Grove,2,3,0,House,https://www.realestateview.com.au/property/wattle-grove/house-0,realestateview.com.au
"From $2,074,361",2074361.0,"367 Church St, Wattle Grove NSW 2479",Wattle Grove,1,2,2,Villa,https://www.domain.com.au/property/wattle-grove/villa-1,domain.com.au
"From $1,061,115",1061115.0,"79 Edward St, Wattle Grove NSW 2477",Wattle Grove,0,1,0,Studio,https://www.realestateview.com.au/property/wattle-grove/studio-2,realestateview.com.au
"$1,977,785",1977785.0,"885 James St, Wattle Grove NSW 2993",Wattle Grove,4,2,2,House,https://www.realestate.com.au/property/wattle-grove/house-3,realestate.com.au
"Guide $1,947,743",1947743.0,"953 High St, Wattle Grove NSW 2322",Wattle Grove,3,2,3,Penthouse,https://www.domain.com.au/property/wattle-grove/penthouse-4,domain.com.au
"$2,227,951 - $2,306,262",2227951.0,"451 Edward St, Wattle Grove NSW 2097",Wattle Grove,2,3,3,Villa,https://www.realestateview.com.au/property/wattle-grove/villa-5,realestateview.com.au
"$1,721,256 ONO",1721256.0,"807 The Boulevarde, Wattle Grove NSW 2642",Wattle Grove,4,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/wattle-grove/apartment--unit--flat-6,realestateview.com.au
"$2,487,027 ONO",2487027.0,"428 Railway St, Wattle Grove NSW 2562",Wattle Grove,4,1,2,Villa,https://www.realestate.com.au/property/wattle-grove/villa-7,realestate.com.au
"$1,208,111",1208111.0,"864 The Boulevarde, Wattle Grove NSW 2666",Wattle Grove,0,1,0,Studio,https://www.rent.com.au/property/wattle-grove/studio-8,rent.com.au
"$1,714,218 - $2,008,140",1714218.0,"829 Pacific Highway, Wattle Grove NSW 2239",Wattle Grove,3,3,0,Villa,https://www.domain.com.au/property/wattle-grove/villa-10,domain.com.au
"$2,111,591",2111591.0,"290 Military Rd, Wattle Grove NSW 2354",Wattle Grove,0,1,0,Studio,https://www.rent.com.au/property/wattle-grove/studio-11,rent.com.au
"$2,361,444",2361444.0,"688 Pacific Highway, Wattle Grove NSW 2065",Wattle Grove,4,4,1,Apartment / Unit / Flat,https://www.rent.com.au/property/wattle-grove/apartment--unit--flat-12,rent.com.au
"From $1,897,867",1897867.0,"776 Park Ave, Wattle Grove NSW 2801",Wattle Grove,4,3,0,Villa,https://www.realestate.com.au/property/wattle-grove/villa-13,realestate.com.au
"$669,766 ONO",669766.0,"241 Queen St, Wattle Grove NSW 2757",Wattle Grove,3,2,0,Villa,https://www.realestate.com.au/property/wattle-grove/villa-14,realestate.com.au
"From $2,095,408",2095408.0,"416 Railway St, Wattle Grove NSW 2491",Wattle Grove,2,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/wattle-grove/apartment--unit--flat-15,domain.com.au
"$2,031,254 ONO",2031254.0,"622 Beach Rd, Wattle Grove NSW 2357",Wattle Grove,0,1,1,Studio,https://www.domain.com.au/property/wattle-grove/studio-16,domain.com.au
"$1,458,105 - $1,613,326",1458105.0,"272 King St, Wattle Grove NSW 2428",Wattle Grove,2,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/wattle-grove/apartment--unit--flat-17,realestateview.com.au
"$1,289,279 ONO",1289279.0,"174 William St, Wattle Grove NSW 2725",Wattle Grove,3,1,0,Villa,https://www.rent.com.au/property/wattle-grove/villa-18,rent.com.au
"$791,246 - $993,976",791246.0,"835 King St, Wattle Grove NSW 2262",Wattle Grove,4,4,2,Penthouse,https://www.domain.com.au/property/wattle-grove/penthouse-19,domain.com.au
"$579,264 - $773,325",579264.0,"892 Edward St, Wattle Grove NSW 2633",Wattle Grove,1,2,0,House,https://www.realestate.com.au/property/wattle-grove/house-20,realestate.com.au
"From $2,489,494",2489494.0,"484 Elizabeth St, Wattle Grove NSW 2828",Wattle Grove,0,1,2,Studio,https://www.realestate.com.au/property/wattle-grove/studio-21,realestate.com.au
"$939,448 ONO",939448.0,"923 High St, Wattle Grove NSW 2354",Wattle Grove,2,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/wattle-grove/apartment--unit--flat-22,realestate.com.au
"$2,265,929",2265929.0,"372 Pacific Highway, Wattle Grove NSW 2209",Wattle Grove,5,4,0,Penthouse,https://www.realestate.com.au/property/wattle-grove/penthouse-23,realestate.com.au
"Guide $1,634,182",1634182.0,"418 George St, Wattle Grove NSW 2801",Wattle Grove,5,4,0,Penthouse,https://www.realestate.com.au/property/wattle-grove/penthouse-24,realestate.com.au
