price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,224,758 ONO",1224758.0,"201 Military Rd, Waverton NSW 2456",Waverton,3,4,4,Villa,https://www.realestateview.com.au/property/waverton/villa-0,realestateview.com.au
"$2,264,385",2264385.0,"765 High St, Waverton NSW 2032",Waverton,3,3,1,House,https://www.realestate.com.au/property/waverton/house-1,realestate.com.au
"$536,461 - $627,165",536461.0,"231 James St, Waverton NSW 2483",Waverton,0,1,1,Studio,https://www.realestateview.com.au/property/waverton/studio-2,realestateview.com.au
"$1,128,230",1128230.0,"978 Elizabeth St, Waverton NSW 2418",Waverton,5,1,0,Townhouse,https://www.rent.com.au/property/waverton/townhouse-4,rent.com.au
"$2,096,766 - $2,344,849",2096766.0,"229 William St, Waverton NSW 2392",Waverton,0,1,1,Studio,https://www.domain.com.au/property/waverton/studio-5,domain.com.au
"$658,833 ONO",658833.0,"802 Military Rd, Waverton NSW 2860",Waverton,2,1,3,Apartment / Unit / Flat,https://www.domain.com.au/property/waverton/apartment--unit--flat-6,domain.com.au
"$1,663,711 ONO",1663711.0,"85 Pacific Highway, Waverton NSW 2326",Waverton,0,1,2,Studio,https://www.domain.com.au/property/waverton/studio-7,domain.com.au
"$1,475,092 ONO",1475092.0,"126 Pacific Highway, Waverton NSW 2950",Waverton,6,2,0,Penthouse,https://www.realestateview.com.au/property/waverton/penthouse-8,realestateview.com.au
"$1,375,623",1375623.0,"151 Military Rd, Waverton NSW 2075",Waverton,0,1,3,Studio,https://www.realestate.com.au/property/waverton/studio-9,realestate.com.au
"$1,879,911",1879911.0,"524 King St, Waverton NSW 2798",Waverton,3,1,1,House,https://www.realestate.com.au/property/waverton/house-10,realestate.com.au
"Guide $2,000,606",2000606.0,"951 William St, Waverton NSW 2461",Waverton,3,2,2,House,https://www.domain.com.au/property/waverton/house-11,domain.com.au
"$2,261,701 - $2,418,593",2261701.0,"900 Pacific Highway, Waverton NSW 2068",Waverton,0,1,3,Studio,https://www.domain.com.au/property/waverton/studio-12,domain.com.au
"From $2,344,829",2344829.0,"188 James St, Waverton NSW 2107",Waverton,0,1,3,Studio,https://www.rent.com.au/property/waverton/studio-13,rent.com.au
"$1,778,425 ONO",1778425.0,"871 High St, Waverton NSW 2983",Waverton,2,1,2,Townhouse,https://www.rent.com.au/property/waverton/townhouse-14,rent.com.au
"$670,755",670755.0,"517 Victoria St, Waverton NSW 2231",Waverton,1,2,2,Villa,https://www.realestateview.com.au/property/waverton/villa-15,realestateview.com.au
"$2,294,137 - $2,525,172",2294137.0,"750 Pacific Highway, Waverton NSW 2283",Waverton,2,2,1,Villa,https://www.realestateview.com.au/property/waverton/villa-16,realestateview.com.au
"$698,048 - $839,934",698048.0,"814 James St, Waverton NSW 2654",Waverton,5,4,0,Penthouse,https://www.realestateview.com.au/property/waverton/penthouse-17,realestateview.com.au
"$2,368,383 - $2,554,540",2368383.0,"390 Edward St, Waverton NSW 2711",Waverton,2,2,2,Townhouse,https://www.realestate.com.au/property/waverton/townhouse-18,realestate.com.au
"$738,035 - $844,973",738035.0,"143 Main St, Waverton NSW 2854",Waverton,3,4,0,Villa,https://www.realestateview.com.au/property/waverton/villa-19,realestateview.com.au
"$2,267,885 ONO",2267885.0,"391 James St, Waverton NSW 2862",Waverton,2,2,3,Villa,https://www.realestate.com.au/property/waverton/villa-21,realestate.com.au
"$1,398,661 - $1,683,967",1398661.0,"384 The Boulevarde, Waverton NSW 2889",Waverton,4,3,0,Townhouse,https://www.rent.com.au/property/waverton/townhouse-22,rent.com.au
"From $2,295,601",2295601.0,"612 Church St, Waverton NSW 2152",Waverton,3,4,0,Townhouse,https://www.realestateview.com.au/property/waverton/townhouse-23,realestateview.com.au
"$975,313 - $1,044,485",975313.0,"600 James St, Waverton NSW 2675",Waverton,4,3,1,House,https://www.realestateview.com.au/property/waverton/house-24,realestateview.com.au
