price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,815,177",1815177.0,"59 Queen St, Wentworth Point NSW 2539",Wentworth Point,2,2,1,Townhouse,https://www.realestateview.com.au/property/wentworth-point/townhouse-0,realestateview.com.au
"Guide $1,966,099",1966099.0,"892 Queen St, Wentworth Point NSW 2808",Wentworth Point,1,1,3,Apartment / Unit / Flat,https://www.domain.com.au/property/wentworth-point/apartment--unit--flat-1,domain.com.au
"$1,733,534",1733534.0,"518 George St, Wentworth Point NSW 2564",Wentworth Point,3,1,0,House,https://www.rent.com.au/property/wentworth-point/house-2,rent.com.au
"$1,200,202 ONO",1200202.0,"309 Albert St, Wentworth Point NSW 2232",Wentworth Point,4,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/wentworth-point/apartment--unit--flat-3,domain.com.au
"Guide $1,941,456",1941456.0,"176 Beach Rd, Wentworth Point NSW 2149",Wentworth Point,6,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/wentworth-point/apartment--unit--flat-4,realestate.com.au
"$747,636 ONO",747636.0,"468 Princes Highway, Wentworth Point NSW 2980",Wentworth Point,3,2,2,House,https://www.rent.com.au/property/wentworth-point/house-5,rent.com.au
"$1,920,372 ONO",1920372.0,"680 Albert St, Wentworth Point NSW 2887",Wentworth Point,5,3,1,Penthouse,https://www.domain.com.au/property/wentworth-point/penthouse-6,domain.com.au
"$1,581,634",1581634.0,"16 James St, Wentworth Point NSW 2382",Wentworth Point,4,3,1,Villa,https://www.realestate.com.au/property/wentworth-point/villa-7,realestate.com.au
"Guide $2,133,891",2133891.0,"378 Church St, Wentworth Point NSW 2192",Wentworth Point,0,1,2,Studio,https://www.rent.com.au/property/wentworth-point/studio-8,rent.com.au
"From $761,025",761025.0,"848 William St, Wentworth Point NSW 2338",Wentworth Point,2,2,0,Villa,https://www.domain.com.au/property/wentworth-point/villa-9,domain.com.au
"$923,057 - $1,059,165",923057.0,"475 Elizabeth St, Wentworth Point NSW 2575",Wentworth Point,3,3,3,Penthouse,https://www.rent.com.au/property/wentworth-point/penthouse-10,rent.com.au
"$1,510,156",1510156.0,"51 Ocean Rd, Wentworth Point NSW 2975",Wentworth Point,6,2,1,Penthouse,https://www.rent.com.au/property/wentworth-point/penthouse-11,rent.com.au
"Guide $1,038,425",1038425.0,"117 James St, Wentworth Point NSW 2497",Wentworth Point,1,2,1,Townhouse,https://www.domain.com.au/property/wentworth-point/townhouse-13,domain.com.au
"$1,943,993 ONO",1943993.0,"7 Military Rd, Wentworth Point NSW 2563",Wentworth Point,4,2,2,Penthouse,https://www.rent.com.au/property/wentworth-point/penthouse-14,rent.com.au
"From $1,542,179",1542179.0,"146 Queen St, Wentworth Point NSW 2887",Wentworth Point,3,4,1,House,https://www.rent.com.au/property/wentworth-point/house-15,rent.com.au
"$907,564 - $1,087,381",907564.0,"468 William St, Wentworth Point NSW 2019",Wentworth Point,4,2,3,Penthouse,https://www.domain.com.au/property/wentworth-point/penthouse-16,domain.com.au
"From $2,317,406",2317406.0,"330 Victoria St, Wentworth Point NSW 2203",Wentworth Point,0,1,1,Studio,https://www.realestateview.com.au/property/wentworth-point/studio-17,realestateview.com.au
"$879,934 ONO",879934.0,"33 Elizabeth St, Wentworth Point NSW 2496",Wentworth Point,5,4,2,Penthouse,https://www.rent.com.au/property/wentworth-point/penthouse-18,rent.com.au
"From $1,819,499",1819499.0,"836 Victoria St, Wentworth Point NSW 2109",Wentworth Point,2,1,1,Villa,https://www.domain.com.au/property/wentworth-point/villa-19,domain.com.au
"From $2,152,708",2152708.0,"87 James St, Wentworth Point NSW 2714",Wentworth Point,2,1,0,Villa,https://www.domain.com.au/property/wentworth-point/villa-20,domain.com.au
"$1,952,305",1952305.0,"20 Park Ave, Wentworth Point NSW 2925",Wentworth Point,2,3,0,Townhouse,https://www.rent.com.au/property/wentworth-point/townhouse-21,rent.com.au
"From $2,482,790",2482790.0,"963 Park Ave, Wentworth Point NSW 2776",Wentworth Point,2,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/wentworth-point/apartment--unit--flat-22,realestateview.com.au
"$1,149,206 ONO",1149206.0,"802 Victoria St, Wentworth Point NSW 2480",Wentworth Point,1,1,2,Townhouse,https://www.realestate.com.au/property/wentworth-point/townhouse-23,realestate.com.au
"$1,278,983",1278983.0,"273 James St, Wentworth Point NSW 2412",Wentworth Point,1,2,1,Villa,https://www.rent.com.au/property/wentworth-point/villa-24,rent.com.au
