price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,426,420 ONO",2426420.0,"120 Princes Highway, Wentworthville NSW 2772",Wentworthville,1,2,0,Townhouse,https://www.realestateview.com.au/property/wentworthville/townhouse-0,realestateview.com.au
"$2,049,870",2049870.0,"315 Victoria St, Wentworthville NSW 2388",Wentworthville,4,2,2,Villa,https://www.realestate.com.au/property/wentworthville/villa-1,realestate.com.au
"$1,170,373 - $1,276,431",1170373.0,"852 Park Ave, Wentworthville NSW 2961",Wentworthville,3,4,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/wentworthville/apartment--unit--flat-2,realestateview.com.au
"Guide $592,094",592094.0,"673 King St, Wentworthville NSW 2411",Wentworthville,4,1,1,Villa,https://www.realestateview.com.au/property/wentworthville/villa-3,realestateview.com.au
"From $1,791,016",1791016.0,"166 George St, Wentworthville NSW 2941",Wentworthville,5,2,0,Penthouse,https://www.domain.com.au/property/wentworthville/penthouse-4,domain.com.au
"$1,383,597",1383597.0,"466 Pacific Highway, Wentworthville NSW 2185",Wentworthville,3,1,0,House,https://www.rent.com.au/property/wentworthville/house-5,rent.com.au
"$1,968,275 ONO",1968275.0,"657 Park Ave, Wentworthville NSW 2162",Wentworthville,4,4,0,Apartment / Unit / Flat,https://www.rent.com.au/property/wentworthville/apartment--unit--flat-6,rent.com.au
"$1,621,393 ONO",1621393.0,"164 Park Ave, Wentworthville NSW 2873",Wentworthville,5,1,2,Apartment / Unit / Flat,https://www.domain.com.au/property/wentworthville/apartment--unit--flat-7,domain.com.au
"$1,787,563",1787563.0,"936 William St, Wentworthville NSW 2722",Wentworthville,0,1,1,Studio,https://www.realestate.com.au/property/wentworthville/studio-8,realestate.com.au
"Guide $2,221,877",2221877.0,"729 Military Rd, Wentworthville NSW 2753",Wentworthville,3,2,0,Villa,https://www.realestate.com.au/property/wentworthville/villa-9,realestate.com.au
"From $1,476,834",1476834.0,"918 Park Ave, Wentworthville NSW 2098",Wentworthville,5,3,0,Penthouse,https://www.domain.com.au/property/wentworthville/penthouse-10,domain.com.au
"Guide $1,202,796",1202796.0,"5 King St, Wentworthville NSW 2117",Wentworthville,4,3,2,Penthouse,https://www.realestateview.com.au/property/wentworthville/penthouse-11,realestateview.com.au
"Guide $1,722,070",1722070.0,"269 Elizabeth St, Wentworthville NSW 2258",Wentworthville,3,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/wentworthville/apartment--unit--flat-12,rent.com.au
"$2,157,614",2157614.0,"654 Main St, Wentworthville NSW 2520",Wentworthville,1,1,0,Townhouse,https://www.realestateview.com.au/property/wentworthville/townhouse-13,realestateview.com.au
"$1,755,261",1755261.0,"628 George St, Wentworthville NSW 2093",Wentworthville,1,1,3,House,https://www.realestateview.com.au/property/wentworthville/house-14,realestateview.com.au
"From $2,037,301",2037301.0,"342 Elizabeth St, Wentworthville NSW 2633",Wentworthville,1,1,3,Villa,https://www.realestate.com.au/property/wentworthville/villa-15,realestate.com.au
"$1,152,149 - $1,311,179",1152149.0,"941 Railway St, Wentworthville NSW 2166",Wentworthville,0,1,0,Studio,https://www.realestate.com.au/property/wentworthville/studio-16,realestate.com.au
"$1,434,981 - $1,518,248",1434981.0,"468 Railway St, Wentworthville NSW 2183",Wentworthville,2,2,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/wentworthville/apartment--unit--flat-17,realestateview.com.au
"$1,843,408 ONO",1843408.0,"345 Railway St, Wentworthville NSW 2534",Wentworthville,0,1,3,Studio,https://www.realestate.com.au/property/wentworthville/studio-18,realestate.com.au
"$1,928,147 ONO",1928147.0,"256 Victoria St, Wentworthville NSW 2561",Wentworthville,5,4,3,Penthouse,https://www.realestateview.com.au/property/wentworthville/penthouse-19,realestateview.com.au
"$950,415 - $1,088,559",950415.0,"30 Albert St, Wentworthville NSW 2619",Wentworthville,4,4,1,Villa,https://www.domain.com.au/property/wentworthville/villa-20,domain.com.au
"$1,732,119 - $2,027,029",1732119.0,"101 Victoria St, Wentworthville NSW 2803",Wentworthville,4,4,2,Townhouse,https://www.rent.com.au/property/wentworthville/townhouse-21,rent.com.au
"From $1,939,656",1939656.0,"572 Queen St, Wentworthville NSW 2686",Wentworthville,2,3,2,Townhouse,https://www.realestateview.com.au/property/wentworthville/townhouse-22,realestateview.com.au
"$1,609,783 ONO",1609783.0,"713 Albert St, Wentworthville NSW 2769",Wentworthville,4,2,3,Penthouse,https://www.domain.com.au/property/wentworthville/penthouse-23,domain.com.au
"$1,219,219 ONO",1219219.0,"343 Market St, Wentworthville NSW 2540",Wentworthville,3,2,1,House,https://www.domain.com.au/property/wentworthville/house-24,domain.com.au
