price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,269,914",2269914.0,"434 Albert St, Werrington NSW 2775",Werrington,3,4,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/werrington/apartment--unit--flat-0,realestateview.com.au
"$717,633 ONO",717633.0,"657 The Boulevarde, Werrington NSW 2439",Werrington,3,4,0,Villa,https://www.rent.com.au/property/werrington/villa-1,rent.com.au
"From $1,806,320",1806320.0,"160 James St, Werrington NSW 2703",Werrington,3,4,3,House,https://www.rent.com.au/property/werrington/house-2,rent.com.au
"$1,569,270 - $1,816,345",1569270.0,"158 Victoria St, Werrington NSW 2756",Werrington,5,4,1,Townhouse,https://www.realestate.com.au/property/werrington/townhouse-3,realestate.com.au
"Guide $1,013,308",1013308.0,"455 Park Ave, Werrington NSW 2058",Werrington,0,1,2,Studio,https://www.realestateview.com.au/property/werrington/studio-4,realestateview.com.au
"Guide $1,440,825",1440825.0,"651 Beach Rd, Werrington NSW 2734",Werrington,0,1,1,Studio,https://www.domain.com.au/property/werrington/studio-5,domain.com.au
"$1,501,958 - $1,710,805",1501958.0,"297 Beach Rd, Werrington NSW 2844",Werrington,6,4,2,Penthouse,https://www.domain.com.au/property/werrington/penthouse-6,domain.com.au
"$1,414,681 ONO",1414681.0,"5 Railway St, Werrington NSW 2343",Werrington,3,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/werrington/apartment--unit--flat-7,rent.com.au
"$1,419,442 - $1,490,393",1419442.0,"471 Albert St, Werrington NSW 2803",Werrington,3,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/werrington/apartment--unit--flat-8,domain.com.au
"Guide $697,993",697993.0,"980 Park Ave, Werrington NSW 2876",Werrington,4,1,0,Townhouse,https://www.domain.com.au/property/werrington/townhouse-10,domain.com.au
"$2,067,056",2067056.0,"815 William St, Werrington NSW 2742",Werrington,0,1,1,Studio,https://www.rent.com.au/property/werrington/studio-11,rent.com.au
"From $1,193,599",1193599.0,"498 Railway St, Werrington NSW 2166",Werrington,2,2,0,House,https://www.realestateview.com.au/property/werrington/house-12,realestateview.com.au
"From $1,377,983",1377983.0,"306 Ocean Rd, Werrington NSW 2263",Werrington,1,2,2,Villa,https://www.realestate.com.au/property/werrington/villa-13,realestate.com.au
"$566,567 ONO",566567.0,"133 Ocean Rd, Werrington NSW 2287",Werrington,6,3,3,Villa,https://www.rent.com.au/property/werrington/villa-14,rent.com.au
"$983,784 - $1,281,541",983784.0,"539 Edward St, Werrington NSW 2626",Werrington,1,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/werrington/apartment--unit--flat-15,realestateview.com.au
"$1,445,358 - $1,519,443",1445358.0,"970 James St, Werrington NSW 2076",Werrington,4,4,3,Townhouse,https://www.rent.com.au/property/werrington/townhouse-16,rent.com.au
"$2,015,765 - $2,231,709",2015765.0,"643 Beach Rd, Werrington NSW 2871",Werrington,4,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/werrington/apartment--unit--flat-17,realestate.com.au
"From $1,745,305",1745305.0,"174 Queen St, Werrington NSW 2870",Werrington,2,1,3,Villa,https://www.domain.com.au/property/werrington/villa-18,domain.com.au
"$1,396,282 ONO",1396282.0,"690 Victoria St, Werrington NSW 2616",Werrington,3,3,2,Villa,https://www.realestateview.com.au/property/werrington/villa-19,realestateview.com.au
"$2,213,546 ONO",2213546.0,"470 High St, Werrington NSW 2673",Werrington,2,1,1,House,https://www.realestate.com.au/property/werrington/house-20,realestate.com.au
"$844,664 - $1,043,773",844664.0,"52 High St, Werrington NSW 2692",Werrington,0,1,0,Studio,https://www.realestateview.com.au/property/werrington/studio-21,realestateview.com.au
"From $2,398,835",2398835.0,"720 High St, Werrington NSW 2698",Werrington,1,1,2,Townhouse,https://www.domain.com.au/property/werrington/townhouse-22,domain.com.au
"Guide $1,828,535",1828535.0,"975 Elizabeth St, Werrington NSW 2145",Werrington,1,1,2,Villa,https://www.realestate.com.au/property/werrington/villa-24,realestate.com.au
