price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,806,610 ONO",1806610.0,"55 The Boulevarde, Werrington County NSW 2839",Werrington County,4,2,3,Townhouse,https://www.rent.com.au/property/werrington-county/townhouse-0,rent.com.au
"$937,683 - $1,207,442",937683.0,"657 William St, Werrington County NSW 2176",Werrington County,2,2,0,Villa,https://www.realestate.com.au/property/werrington-county/villa-1,realestate.com.au
"Guide $725,555",725555.0,"903 Princes Highway, Werrington County NSW 2054",Werrington County,1,1,3,House,https://www.domain.com.au/property/werrington-county/house-2,domain.com.au
"From $848,246",848246.0,"575 Church St, Werrington County NSW 2841",Werrington County,4,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/werrington-county/apartment--unit--flat-3,domain.com.au
"From $1,800,276",1800276.0,"367 Beach Rd, Werrington County NSW 2030",Werrington County,6,4,3,Penthouse,https://www.rent.com.au/property/werrington-county/penthouse-4,rent.com.au
"Guide $1,022,862",1022862.0,"859 Church St, Werrington County NSW 2613",Werrington County,3,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/werrington-county/apartment--unit--flat-5,domain.com.au
"Guide $975,263",975263.0,"139 Park Ave, Werrington County NSW 2149",Werrington County,0,1,3,Studio,https://www.realestate.com.au/property/werrington-county/studio-6,realestate.com.au
"$951,958 - $1,157,492",951958.0,"428 Military Rd, Werrington County NSW 2246",Werrington County,2,2,2,House,https://www.rent.com.au/property/werrington-county/house-8,rent.com.au
"$1,655,537 ONO",1655537.0,"876 High St, Werrington County NSW 2645",Werrington County,2,2,1,Townhouse,https://www.realestate.com.au/property/werrington-county/townhouse-9,realestate.com.au
"Guide $2,083,717",2083717.0,"777 The Boulevarde, Werrington County NSW 2671",Werrington County,2,1,0,Townhouse,https://www.domain.com.au/property/werrington-county/townhouse-10,domain.com.au
"$1,194,085 ONO",1194085.0,"527 Beach Rd, Werrington County NSW 2939",Werrington County,2,2,2,House,https://www.realestate.com.au/property/werrington-county/house-11,realestate.com.au
"$1,993,618",1993618.0,"202 William St, Werrington County NSW 2464",Werrington County,3,3,1,Townhouse,https://www.rent.com.au/property/werrington-county/townhouse-13,rent.com.au
"$2,203,629 ONO",2203629.0,"114 George St, Werrington County NSW 2837",Werrington County,5,4,3,Penthouse,https://www.realestate.com.au/property/werrington-county/penthouse-15,realestate.com.au
"$1,347,180",1347180.0,"775 Military Rd, Werrington County NSW 2460",Werrington County,0,1,3,Studio,https://www.domain.com.au/property/werrington-county/studio-16,domain.com.au
"$2,071,802 ONO",2071802.0,"465 Military Rd, Werrington County NSW 2000",Werrington County,1,2,1,Townhouse,https://www.rent.com.au/property/werrington-county/townhouse-17,rent.com.au
"$1,042,806 ONO",1042806.0,"346 Military Rd, Werrington County NSW 2463",Werrington County,0,1,3,Studio,https://www.realestate.com.au/property/werrington-county/studio-18,realestate.com.au
"$2,136,416 ONO",2136416.0,"742 Military Rd, Werrington County NSW 2620",Werrington County,0,1,0,Studio,https://www.rent.com.au/property/werrington-county/studio-20,rent.com.au
"Guide $1,149,243",1149243.0,"204 Princes Highway, Werrington County NSW 2645",Werrington County,0,1,1,Studio,https://www.realestate.com.au/property/werrington-county/studio-21,realestate.com.au
"$1,200,598 ONO",1200598.0,"38 Princes Highway, Werrington County NSW 2433",Werrington County,0,1,2,Studio,https://www.domain.com.au/property/werrington-county/studio-22,domain.com.au
"From $1,206,994",1206994.0,"93 Princes Highway, Werrington County NSW 2763",Werrington County,4,4,2,Townhouse,https://www.domain.com.au/property/werrington-county/townhouse-23,domain.com.au
