price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,763,647",1763647.0,"543 The Boulevarde, Werrington Downs NSW 2050",Werrington Downs,2,3,3,Apartment / Unit / Flat,https://www.rent.com.au/property/werrington-downs/apartment--unit--flat-0,rent.com.au
"$1,699,030 - $1,886,115",1699030.0,"77 Albert St, Werrington Downs NSW 2055",Werrington Downs,1,2,2,House,https://www.rent.com.au/property/werrington-downs/house-1,rent.com.au
"$555,047",555047.0,"163 Queen St, Werrington Downs NSW 2475",Werrington Downs,0,1,1,Studio,https://www.domain.com.au/property/werrington-downs/studio-2,domain.com.au
"$554,061 - $609,048",554061.0,"95 Princes Highway, Werrington Downs NSW 2277",Werrington Downs,0,1,0,Studio,https://www.realestate.com.au/property/werrington-downs/studio-3,realestate.com.au
"From $1,785,743",1785743.0,"593 Princes Highway, Werrington Downs NSW 2496",Werrington Downs,4,3,1,House,https://www.realestateview.com.au/property/werrington-downs/house-4,realestateview.com.au
"$1,326,349 ONO",1326349.0,"449 Edward St, Werrington Downs NSW 2716",Werrington Downs,0,1,1,Studio,https://www.rent.com.au/property/werrington-downs/studio-7,rent.com.au
"$891,403",891403.0,"268 Church St, Werrington Downs NSW 2044",Werrington Downs,3,4,3,Apartment / Unit / Flat,https://www.domain.com.au/property/werrington-downs/apartment--unit--flat-8,domain.com.au
"Guide $1,040,240",1040240.0,"130 Market St, Werrington Downs NSW 2432",Werrington Downs,0,1,2,Studio,https://www.rent.com.au/property/werrington-downs/studio-9,rent.com.au
"$1,399,575",1399575.0,"129 Railway St, Werrington Downs NSW 2085",Werrington Downs,1,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/werrington-downs/apartment--unit--flat-10,domain.com.au
"From $1,003,251",1003251.0,"170 Pacific Highway, Werrington Downs NSW 2749",Werrington Downs,1,2,1,Villa,https://www.realestate.com.au/property/werrington-downs/villa-11,realestate.com.au
"Guide $1,771,461",1771461.0,"443 King St, Werrington Downs NSW 2548",Werrington Downs,4,2,2,Villa,https://www.rent.com.au/property/werrington-downs/villa-13,rent.com.au
"Guide $2,375,299",2375299.0,"333 William St, Werrington Downs NSW 2748",Werrington Downs,1,2,2,Villa,https://www.realestateview.com.au/property/werrington-downs/villa-14,realestateview.com.au
"$1,101,160 - $1,210,033",1101160.0,"591 Queen St, Werrington Downs NSW 2330",Werrington Downs,3,4,1,House,https://www.realestateview.com.au/property/werrington-downs/house-15,realestateview.com.au
"Guide $1,058,460",1058460.0,"191 Beach Rd, Werrington Downs NSW 2478",Werrington Downs,4,2,2,Penthouse,https://www.realestateview.com.au/property/werrington-downs/penthouse-16,realestateview.com.au
"$912,256 - $1,121,051",912256.0,"415 Edward St, Werrington Downs NSW 2157",Werrington Downs,2,2,0,Villa,https://www.realestateview.com.au/property/werrington-downs/villa-17,realestateview.com.au
"$710,976",710976.0,"599 Victoria St, Werrington Downs NSW 2531",Werrington Downs,1,2,1,Villa,https://www.realestate.com.au/property/werrington-downs/villa-18,realestate.com.au
"From $888,299",888299.0,"855 James St, Werrington Downs NSW 2438",Werrington Downs,1,2,1,Villa,https://www.realestate.com.au/property/werrington-downs/villa-19,realestate.com.au
"$1,518,726",1518726.0,"239 Church St, Werrington Downs NSW 2831",Werrington Downs,4,4,0,Townhouse,https://www.realestate.com.au/property/werrington-downs/townhouse-20,realestate.com.au
"$2,348,335",2348335.0,"913 The Boulevarde, Werrington Downs NSW 2241",Werrington Downs,4,2,0,Townhouse,https://www.realestate.com.au/property/werrington-downs/townhouse-21,realestate.com.au
"From $2,478,325",2478325.0,"661 Pacific Highway, Werrington Downs NSW 2432",Werrington Downs,3,4,1,Townhouse,https://www.domain.com.au/property/werrington-downs/townhouse-23,domain.com.au
"From $2,329,871",2329871.0,"671 Princes Highway, Werrington Downs NSW 2717",Werrington Downs,0,1,0,Studio,https://www.rent.com.au/property/werrington-downs/studio-24,rent.com.au
