price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,297,363 ONO",2297363.0,"458 Military Rd, West Pennant Hills NSW 2452",West Pennant Hills,0,1,2,Studio,https://www.rent.com.au/property/west-pennant-hills/studio-0,rent.com.au
"Guide $871,170",871170.0,"397 Princes Highway, West Pennant Hills NSW 2645",West Pennant Hills,3,4,0,Townhouse,https://www.rent.com.au/property/west-pennant-hills/townhouse-1,rent.com.au
"$524,705 - $764,965",524705.0,"689 Railway St, West Pennant Hills NSW 2085",West Pennant Hills,5,2,0,Penthouse,https://www.domain.com.au/property/west-pennant-hills/penthouse-2,domain.com.au
"Guide $641,621",641621.0,"170 Park Ave, West Pennant Hills NSW 2376",West Pennant Hills,6,3,1,Penthouse,https://www.realestate.com.au/property/west-pennant-hills/penthouse-3,realestate.com.au
"$1,337,986",1337986.0,"434 Pacific Highway, West Pennant Hills NSW 2801",West Pennant Hills,1,2,0,House,https://www.domain.com.au/property/west-pennant-hills/house-4,domain.com.au
"From $1,066,601",1066601.0,"650 George St, West Pennant Hills NSW 2415",West Pennant Hills,0,1,0,Studio,https://www.realestate.com.au/property/west-pennant-hills/studio-5,realestate.com.au
"$2,483,352 - $2,691,265",2483352.0,"209 Albert St, West Pennant Hills NSW 2558",West Pennant Hills,4,2,0,Penthouse,https://www.realestateview.com.au/property/west-pennant-hills/penthouse-6,realestateview.com.au
"$935,019",935019.0,"98 Albert St, West Pennant Hills NSW 2801",West Pennant Hills,3,4,0,House,https://www.rent.com.au/property/west-pennant-hills/house-7,rent.com.au
"Guide $877,804",877804.0,"298 James St, West Pennant Hills NSW 2513",West Pennant Hills,2,1,4,Townhouse,https://www.realestateview.com.au/property/west-pennant-hills/townhouse-8,realestateview.com.au
"$1,843,851",1843851.0,"247 Railway St, West Pennant Hills NSW 2077",West Pennant Hills,3,4,2,Villa,https://www.rent.com.au/property/west-pennant-hills/villa-9,rent.com.au
"From $970,171",970171.0,"587 King St, West Pennant Hills NSW 2735",West Pennant Hills,2,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/west-pennant-hills/apartment--unit--flat-10,realestate.com.au
"$878,861 ONO",878861.0,"746 Church St, West Pennant Hills NSW 2665",West Pennant Hills,0,1,0,Studio,https://www.realestateview.com.au/property/west-pennant-hills/studio-11,realestateview.com.au
"$1,707,649",1707649.0,"772 Railway St, West Pennant Hills NSW 2346",West Pennant Hills,2,3,0,House,https://www.realestateview.com.au/property/west-pennant-hills/house-12,realestateview.com.au
"Guide $693,816",693816.0,"166 Albert St, West Pennant Hills NSW 2586",West Pennant Hills,1,1,1,Townhouse,https://www.realestate.com.au/property/west-pennant-hills/townhouse-14,realestate.com.au
"$773,214",773214.0,"779 James St, West Pennant Hills NSW 2385",West Pennant Hills,3,4,1,Townhouse,https://www.rent.com.au/property/west-pennant-hills/townhouse-15,rent.com.au
"$2,442,307 ONO",2442307.0,"199 James St, West Pennant Hills NSW 2274",West Pennant Hills,5,4,3,Penthouse,https://www.realestate.com.au/property/west-pennant-hills/penthouse-16,realestate.com.au
"$1,910,996 ONO",1910996.0,"54 High St, West Pennant Hills NSW 2547",West Pennant Hills,2,3,2,Villa,https://www.realestate.com.au/property/west-pennant-hills/villa-17,realestate.com.au
"$1,968,664",1968664.0,"313 Pacific Highway, West Pennant Hills NSW 2074",West Pennant Hills,2,2,2,Townhouse,https://www.realestateview.com.au/property/west-pennant-hills/townhouse-18,realestateview.com.au
"$1,739,725 - $1,901,294",1739725.0,"709 Pacific Highway, West Pennant Hills NSW 2047",West Pennant Hills,1,1,0,House,https://www.domain.com.au/property/west-pennant-hills/house-19,domain.com.au
"From $1,205,522",1205522.0,"998 Church St, West Pennant Hills NSW 2792",West Pennant Hills,0,1,0,Studio,https://www.domain.com.au/property/west-pennant-hills/studio-20,domain.com.au
"Guide $631,064",631064.0,"890 Military Rd, West Pennant Hills NSW 2897",West Pennant Hills,3,2,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/west-pennant-hills/apartment--unit--flat-21,realestateview.com.au
"Guide $1,236,562",1236562.0,"894 Railway St, West Pennant Hills NSW 2424",West Pennant Hills,0,1,0,Studio,https://www.realestateview.com.au/property/west-pennant-hills/studio-22,realestateview.com.au
"$2,032,255",2032255.0,"233 Queen St, West Pennant Hills NSW 2997",West Pennant Hills,2,2,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/west-pennant-hills/apartment--unit--flat-23,realestate.com.au
"Guide $1,116,901",1116901.0,"479 William St, West Pennant Hills NSW 2994",West Pennant Hills,3,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/west-pennant-hills/apartment--unit--flat-24,rent.com.au
