price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,002,855",2002855.0,"499 Edward St, Westmead NSW 2558",Westmead,6,1,0,Villa,https://www.rent.com.au/property/westmead/villa-0,rent.com.au
"$2,457,020 - $2,600,352",2457020.0,"955 William St, Westmead NSW 2625",Westmead,0,1,1,Studio,https://www.realestate.com.au/property/westmead/studio-1,realestate.com.au
"Guide $926,045",926045.0,"601 King St, Westmead NSW 2871",Westmead,3,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/westmead/apartment--unit--flat-2,realestateview.com.au
"From $528,095",528095.0,"156 Princes Highway, Westmead NSW 2139",Westmead,4,2,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/westmead/apartment--unit--flat-3,realestate.com.au
"$1,452,479 - $1,669,940",1452479.0,"438 Military Rd, Westmead NSW 2480",Westmead,1,1,0,Villa,https://www.realestateview.com.au/property/westmead/villa-4,realestateview.com.au
"$2,356,376 ONO",2356376.0,"684 George St, Westmead NSW 2759",Westmead,0,1,4,Studio,https://www.domain.com.au/property/westmead/studio-5,domain.com.au
"$608,985 - $872,135",608985.0,"684 Pacific Highway, Westmead NSW 2864",Westmead,2,3,0,House,https://www.realestate.com.au/property/westmead/house-6,realestate.com.au
"$1,864,989",1864989.0,"376 Pacific Highway, Westmead NSW 2362",Westmead,2,3,0,House,https://www.realestate.com.au/property/westmead/house-7,realestate.com.au
"Guide $557,695",557695.0,"390 Pacific Highway, Westmead NSW 2777",Westmead,3,4,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/westmead/apartment--unit--flat-8,realestateview.com.au
"$1,143,603",1143603.0,"597 Railway St, Westmead NSW 2913",Westmead,3,4,3,Townhouse,https://www.domain.com.au/property/westmead/townhouse-9,domain.com.au
"$2,036,836 ONO",2036836.0,"404 Elizabeth St, Westmead NSW 2444",Westmead,4,2,2,Penthouse,https://www.domain.com.au/property/westmead/penthouse-10,domain.com.au
"$1,007,964 ONO",1007964.0,"814 Main St, Westmead NSW 2798",Westmead,0,1,0,Studio,https://www.realestate.com.au/property/westmead/studio-11,realestate.com.au
"$1,657,795 ONO",1657795.0,"138 The Boulevarde, Westmead NSW 2698",Westmead,3,1,0,House,https://www.rent.com.au/property/westmead/house-12,rent.com.au
"$741,471 ONO",741471.0,"431 Queen St, Westmead NSW 2096",Westmead,4,2,0,Villa,https://www.rent.com.au/property/westmead/villa-13,rent.com.au
"Guide $2,206,174",2206174.0,"842 Beach Rd, Westmead NSW 2806",Westmead,3,4,2,Townhouse,https://www.realestate.com.au/property/westmead/townhouse-14,realestate.com.au
"Guide $2,128,984",2128984.0,"644 High St, Westmead NSW 2516",Westmead,5,4,0,Penthouse,https://www.realestateview.com.au/property/westmead/penthouse-15,realestateview.com.au
"From $2,403,637",2403637.0,"362 Princes Highway, Westmead NSW 2818",Westmead,2,3,2,Townhouse,https://www.domain.com.au/property/westmead/townhouse-19,domain.com.au
"From $1,036,382",1036382.0,"511 King St, Westmead NSW 2650",Westmead,0,1,4,Studio,https://www.rent.com.au/property/westmead/studio-20,rent.com.au
"$735,305",735305.0,"413 Church St, Westmead NSW 2001",Westmead,4,4,2,Apartment / Unit / Flat,https://www.domain.com.au/property/westmead/apartment--unit--flat-21,domain.com.au
"Guide $1,438,291",1438291.0,"40 Railway St, Westmead NSW 2846",Westmead,1,1,3,Townhouse,https://www.domain.com.au/property/westmead/townhouse-22,domain.com.au
"$2,250,962",2250962.0,"424 Park Ave, Westmead NSW 2737",Westmead,6,2,1,Penthouse,https://www.realestateview.com.au/property/westmead/penthouse-23,realestateview.com.au
"$1,234,109",1234109.0,"103 Main St, Westmead NSW 2199",Westmead,0,1,0,Studio,https://www.domain.com.au/property/westmead/studio-24,domain.com.au
