price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,572,026 ONO",1572026.0,"869 Church St, Whalan NSW 2693",Whalan,2,1,0,Villa,https://www.realestate.com.au/property/whalan/villa-2,realestate.com.au
"Guide $830,120",830120.0,"215 Military Rd, Whalan NSW 2841",Whalan,4,2,2,Penthouse,https://www.realestate.com.au/property/whalan/penthouse-3,realestate.com.au
"$2,175,877 - $2,264,961",2175877.0,"450 High St, Whalan NSW 2325",Whalan,0,1,2,Studio,https://www.rent.com.au/property/whalan/studio-4,rent.com.au
"From $2,494,450",2494450.0,"669 Main St, Whalan NSW 2430",Whalan,0,1,1,Studio,https://www.realestateview.com.au/property/whalan/studio-5,realestateview.com.au
"$1,901,941 ONO",1901941.0,"336 King St, Whalan NSW 2020",Whalan,4,1,1,Townhouse,https://www.realestate.com.au/property/whalan/townhouse-6,realestate.com.au
"$2,489,671 ONO",2489671.0,"933 Market St, Whalan NSW 2851",Whalan,2,3,1,House,https://www.realestate.com.au/property/whalan/house-7,realestate.com.au
"$2,374,421",2374421.0,"200 Market St, Whalan NSW 2582",Whalan,0,1,0,Studio,https://www.domain.com.au/property/whalan/studio-8,domain.com.au
"$1,388,885 - $1,467,643",1388885.0,"792 Park Ave, Whalan NSW 2836",Whalan,4,3,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/whalan/apartment--unit--flat-9,realestateview.com.au
"$2,412,919 - $2,626,660",2412919.0,"639 Queen St, Whalan NSW 2414",Whalan,3,2,1,House,https://www.rent.com.au/property/whalan/house-10,rent.com.au
"$1,555,282 - $1,755,608",1555282.0,"659 Market St, Whalan NSW 2893",Whalan,3,2,4,Penthouse,https://www.realestateview.com.au/property/whalan/penthouse-11,realestateview.com.au
"From $1,105,117",1105117.0,"937 Pacific Highway, Whalan NSW 2240",Whalan,4,1,2,House,https://www.realestateview.com.au/property/whalan/house-12,realestateview.com.au
"Guide $1,283,567",1283567.0,"452 Military Rd, Whalan NSW 2611",Whalan,4,1,3,House,https://www.realestateview.com.au/property/whalan/house-13,realestateview.com.au
"$1,810,244 ONO",1810244.0,"666 Princes Highway, Whalan NSW 2599",Whalan,4,2,2,Penthouse,https://www.realestateview.com.au/property/whalan/penthouse-14,realestateview.com.au
"Guide $682,277",682277.0,"770 Beach Rd, Whalan NSW 2320",Whalan,0,1,3,Studio,https://www.realestateview.com.au/property/whalan/studio-16,realestateview.com.au
"$1,186,204 ONO",1186204.0,"486 The Boulevarde, Whalan NSW 2760",Whalan,1,1,0,House,https://www.realestateview.com.au/property/whalan/house-17,realestateview.com.au
"From $890,042",890042.0,"671 King St, Whalan NSW 2134",Whalan,3,2,0,Penthouse,https://www.domain.com.au/property/whalan/penthouse-19,domain.com.au
"From $1,172,551",1172551.0,"900 Albert St, Whalan NSW 2408",Whalan,4,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/whalan/apartment--unit--flat-20,realestate.com.au
"Guide $1,269,058",1269058.0,"847 Princes Highway, Whalan NSW 2257",Whalan,0,1,2,Studio,https://www.realestateview.com.au/property/whalan/studio-21,realestateview.com.au
"$2,289,497 ONO",2289497.0,"447 Railway St, Whalan NSW 2270",Whalan,4,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/whalan/apartment--unit--flat-23,realestateview.com.au
"From $779,040",779040.0,"829 Main St, Whalan NSW 2030",Whalan,2,2,2,Townhouse,https://www.domain.com.au/property/whalan/townhouse-24,domain.com.au
