price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $694,242",694242.0,"968 Beach Rd, Whale Beach NSW 2521",Whale Beach,3,4,2,House,https://www.domain.com.au/property/whale-beach/house-0,domain.com.au
"Guide $1,330,191",1330191.0,"8 Park Ave, Whale Beach NSW 2480",Whale Beach,5,3,2,House,https://www.domain.com.au/property/whale-beach/house-1,domain.com.au
"$1,491,524",1491524.0,"74 The Boulevarde, Whale Beach NSW 2488",Whale Beach,4,4,3,House,https://www.realestateview.com.au/property/whale-beach/house-2,realestateview.com.au
"$546,869 ONO",546869.0,"799 Edward St, Whale Beach NSW 2524",Whale Beach,2,3,1,Townhouse,https://www.rent.com.au/property/whale-beach/townhouse-3,rent.com.au
"Guide $2,332,552",2332552.0,"688 High St, Whale Beach NSW 2239",Whale Beach,3,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/whale-beach/apartment--unit--flat-4,realestate.com.au
"$1,857,378 - $2,139,510",1857378.0,"93 Railway St, Whale Beach NSW 2308",Whale Beach,0,1,0,Studio,https://www.realestate.com.au/property/whale-beach/studio-5,realestate.com.au
"From $2,389,656",2389656.0,"496 Main St, Whale Beach NSW 2429",Whale Beach,0,1,3,Studio,https://www.realestateview.com.au/property/whale-beach/studio-6,realestateview.com.au
"$986,297",986297.0,"62 King St, Whale Beach NSW 2289",Whale Beach,6,3,0,Penthouse,https://www.domain.com.au/property/whale-beach/penthouse-7,domain.com.au
"From $1,370,558",1370558.0,"893 Albert St, Whale Beach NSW 2230",Whale Beach,3,4,0,Villa,https://www.rent.com.au/property/whale-beach/villa-8,rent.com.au
"$2,426,167",2426167.0,"718 Market St, Whale Beach NSW 2963",Whale Beach,2,3,0,Townhouse,https://www.rent.com.au/property/whale-beach/townhouse-9,rent.com.au
"From $2,303,357",2303357.0,"108 William St, Whale Beach NSW 2566",Whale Beach,1,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/whale-beach/apartment--unit--flat-10,rent.com.au
"$1,389,082 ONO",1389082.0,"838 Church St, Whale Beach NSW 2912",Whale Beach,2,2,0,Villa,https://www.rent.com.au/property/whale-beach/villa-11,rent.com.au
"Guide $744,780",744780.0,"82 The Boulevarde, Whale Beach NSW 2590",Whale Beach,3,1,2,Villa,https://www.rent.com.au/property/whale-beach/villa-12,rent.com.au
"Guide $1,003,549",1003549.0,"474 Market St, Whale Beach NSW 2634",Whale Beach,0,1,4,Studio,https://www.realestate.com.au/property/whale-beach/studio-13,realestate.com.au
"Guide $930,757",930757.0,"937 William St, Whale Beach NSW 2171",Whale Beach,2,3,4,House,https://www.rent.com.au/property/whale-beach/house-14,rent.com.au
"$2,040,103",2040103.0,"932 James St, Whale Beach NSW 2035",Whale Beach,1,1,4,Villa,https://www.domain.com.au/property/whale-beach/villa-15,domain.com.au
"$2,075,176",2075176.0,"46 Beach Rd, Whale Beach NSW 2434",Whale Beach,2,3,0,Villa,https://www.realestate.com.au/property/whale-beach/villa-16,realestate.com.au
"$1,171,336",1171336.0,"476 Albert St, Whale Beach NSW 2394",Whale Beach,6,1,3,House,https://www.rent.com.au/property/whale-beach/house-17,rent.com.au
"$1,058,042 - $1,133,972",1058042.0,"889 Princes Highway, Whale Beach NSW 2765",Whale Beach,0,1,4,Studio,https://www.realestateview.com.au/property/whale-beach/studio-18,realestateview.com.au
"$1,480,135 ONO",1480135.0,"247 Railway St, Whale Beach NSW 2325",Whale Beach,4,3,3,House,https://www.realestate.com.au/property/whale-beach/house-19,realestate.com.au
"$2,128,679",2128679.0,"344 Military Rd, Whale Beach NSW 2700",Whale Beach,2,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/whale-beach/apartment--unit--flat-20,realestateview.com.au
"$1,902,661",1902661.0,"602 King St, Whale Beach NSW 2664",Whale Beach,0,1,3,Studio,https://www.rent.com.au/property/whale-beach/studio-21,rent.com.au
"$1,480,328 ONO",1480328.0,"229 James St, Whale Beach NSW 2347",Whale Beach,2,3,2,House,https://www.realestate.com.au/property/whale-beach/house-24,realestate.com.au
