price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $792,533",792533.0,"572 Queen St, Wiley Park NSW 2787",Wiley Park,0,1,0,Studio,https://www.realestate.com.au/property/wiley-park/studio-0,realestate.com.au
"$2,147,569",2147569.0,"336 Beach Rd, Wiley Park NSW 2742",Wiley Park,1,1,2,Townhouse,https://www.realestateview.com.au/property/wiley-park/townhouse-1,realestateview.com.au
"From $2,443,830",2443830.0,"614 High St, Wiley Park NSW 2973",Wiley Park,5,4,2,Villa,https://www.rent.com.au/property/wiley-park/villa-2,rent.com.au
"$1,250,762 ONO",1250762.0,"979 William St, Wiley Park NSW 2821",Wiley Park,2,3,0,Townhouse,https://www.realestateview.com.au/property/wiley-park/townhouse-3,realestateview.com.au
"$1,670,713",1670713.0,"298 James St, Wiley Park NSW 2955",Wiley Park,3,4,3,Villa,https://www.realestate.com.au/property/wiley-park/villa-4,realestate.com.au
"Guide $1,029,144",1029144.0,"30 King St, Wiley Park NSW 2228",Wiley Park,3,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/wiley-park/apartment--unit--flat-5,domain.com.au
"$1,945,167",1945167.0,"52 William St, Wiley Park NSW 2593",Wiley Park,6,4,3,Penthouse,https://www.realestateview.com.au/property/wiley-park/penthouse-6,realestateview.com.au
"Guide $1,881,561",1881561.0,"592 William St, Wiley Park NSW 2903",Wiley Park,0,1,2,Studio,https://www.realestateview.com.au/property/wiley-park/studio-7,realestateview.com.au
"From $2,199,724",2199724.0,"341 George St, Wiley Park NSW 2073",Wiley Park,1,2,1,Townhouse,https://www.domain.com.au/property/wiley-park/townhouse-9,domain.com.au
"$709,831",709831.0,"770 Main St, Wiley Park NSW 2503",Wiley Park,0,1,0,Studio,https://www.rent.com.au/property/wiley-park/studio-11,rent.com.au
"$2,160,077",2160077.0,"905 James St, Wiley Park NSW 2882",Wiley Park,1,2,0,Townhouse,https://www.realestate.com.au/property/wiley-park/townhouse-12,realestate.com.au
"Guide $2,122,180",2122180.0,"207 George St, Wiley Park NSW 2804",Wiley Park,2,2,0,House,https://www.realestateview.com.au/property/wiley-park/house-13,realestateview.com.au
"$1,329,243 ONO",1329243.0,"565 Beach Rd, Wiley Park NSW 2792",Wiley Park,5,4,0,Penthouse,https://www.rent.com.au/property/wiley-park/penthouse-14,rent.com.au
"$1,408,671 ONO",1408671.0,"808 Pacific Highway, Wiley Park NSW 2572",Wiley Park,0,1,1,Studio,https://www.rent.com.au/property/wiley-park/studio-15,rent.com.au
"From $2,268,015",2268015.0,"697 Beach Rd, Wiley Park NSW 2909",Wiley Park,1,2,1,House,https://www.realestate.com.au/property/wiley-park/house-18,realestate.com.au
"Guide $838,733",838733.0,"297 The Boulevarde, Wiley Park NSW 2193",Wiley Park,0,1,1,Studio,https://www.realestateview.com.au/property/wiley-park/studio-19,realestateview.com.au
"From $1,451,212",1451212.0,"406 The Boulevarde, Wiley Park NSW 2706",Wiley Park,4,1,2,Townhouse,https://www.realestate.com.au/property/wiley-park/townhouse-20,realestate.com.au
"Guide $807,962",807962.0,"965 King St, Wiley Park NSW 2570",Wiley Park,3,1,3,House,https://www.domain.com.au/property/wiley-park/house-21,domain.com.au
"$1,303,419",1303419.0,"279 Elizabeth St, Wiley Park NSW 2557",Wiley Park,2,3,1,Townhouse,https://www.realestateview.com.au/property/wiley-park/townhouse-22,realestateview.com.au
"$779,064",779064.0,"197 Military Rd, Wiley Park NSW 2133",Wiley Park,2,1,2,Apartment / Unit / Flat,https://www.rent.com.au/property/wiley-park/apartment--unit--flat-24,rent.com.au
