price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,309,181 - $1,364,779",1309181.0,"67 Pacific Highway, Willmot NSW 2314",Willmot,0,1,0,Studio,https://www.realestateview.com.au/property/willmot/studio-0,realestateview.com.au
"$2,348,564 ONO",2348564.0,"668 Pacific Highway, Willmot NSW 2484",Willmot,6,4,1,Villa,https://www.domain.com.au/property/willmot/villa-1,domain.com.au
"Guide $748,524",748524.0,"422 Victoria St, Willmot NSW 2950",Willmot,6,4,3,Penthouse,https://www.domain.com.au/property/willmot/penthouse-2,domain.com.au
"$1,729,804 - $1,962,189",1729804.0,"77 Park Ave, Willmot NSW 2069",Willmot,5,2,1,Townhouse,https://www.realestate.com.au/property/willmot/townhouse-3,realestate.com.au
"$1,795,211 - $1,953,187",1795211.0,"133 King St, Willmot NSW 2966",Willmot,0,1,0,Studio,https://www.domain.com.au/property/willmot/studio-5,domain.com.au
"$864,011 - $1,125,159",864011.0,"131 Railway St, Willmot NSW 2360",Willmot,5,4,0,Villa,https://www.realestate.com.au/property/willmot/villa-6,realestate.com.au
"$2,384,927 - $2,650,646",2384927.0,"843 Albert St, Willmot NSW 2245",Willmot,0,1,1,Studio,https://www.realestate.com.au/property/willmot/studio-7,realestate.com.au
"$1,802,157 - $1,956,542",1802157.0,"316 High St, Willmot NSW 2480",Willmot,2,1,0,Townhouse,https://www.domain.com.au/property/willmot/townhouse-8,domain.com.au
"Guide $1,555,473",1555473.0,"271 Princes Highway, Willmot NSW 2477",Willmot,0,1,3,Studio,https://www.realestate.com.au/property/willmot/studio-9,realestate.com.au
"$1,380,562",1380562.0,"620 Queen St, Willmot NSW 2599",Willmot,3,4,0,Townhouse,https://www.realestateview.com.au/property/willmot/townhouse-10,realestateview.com.au
"$2,432,601",2432601.0,"257 The Boulevarde, Willmot NSW 2359",Willmot,3,4,2,Townhouse,https://www.realestateview.com.au/property/willmot/townhouse-11,realestateview.com.au
"Guide $1,547,496",1547496.0,"484 Pacific Highway, Willmot NSW 2598",Willmot,6,4,1,Villa,https://www.rent.com.au/property/willmot/villa-12,rent.com.au
"$1,262,946 ONO",1262946.0,"49 Church St, Willmot NSW 2808",Willmot,3,4,1,House,https://www.domain.com.au/property/willmot/house-13,domain.com.au
"$976,182 - $1,079,230",976182.0,"499 Main St, Willmot NSW 2252",Willmot,0,1,3,Studio,https://www.realestate.com.au/property/willmot/studio-14,realestate.com.au
"$2,145,680",2145680.0,"256 Albert St, Willmot NSW 2399",Willmot,2,2,3,Villa,https://www.domain.com.au/property/willmot/villa-16,domain.com.au
"Guide $1,843,678",1843678.0,"202 Military Rd, Willmot NSW 2844",Willmot,4,2,0,Villa,https://www.realestateview.com.au/property/willmot/villa-17,realestateview.com.au
"$2,493,771 ONO",2493771.0,"906 Railway St, Willmot NSW 2354",Willmot,3,2,3,Penthouse,https://www.realestateview.com.au/property/willmot/penthouse-18,realestateview.com.au
"$2,088,813 ONO",2088813.0,"177 Park Ave, Willmot NSW 2847",Willmot,5,3,3,House,https://www.domain.com.au/property/willmot/house-19,domain.com.au
"$1,321,057",1321057.0,"562 King St, Willmot NSW 2106",Willmot,3,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/willmot/apartment--unit--flat-20,realestate.com.au
"$1,020,854",1020854.0,"476 Market St, Willmot NSW 2480",Willmot,3,2,2,Villa,https://www.rent.com.au/property/willmot/villa-21,rent.com.au
"$1,866,572 ONO",1866572.0,"903 King St, Willmot NSW 2387",Willmot,2,3,0,Villa,https://www.realestateview.com.au/property/willmot/villa-22,realestateview.com.au
"$804,769 - $1,047,871",804769.0,"408 The Boulevarde, Willmot NSW 2342",Willmot,4,1,2,Villa,https://www.realestateview.com.au/property/willmot/villa-23,realestateview.com.au
