price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,373,014",1373014.0,"244 Pacific Highway, Willoughby NSW 2478",Willoughby,3,4,3,Townhouse,https://www.domain.com.au/property/willoughby/townhouse-0,domain.com.au
"$2,413,230",2413230.0,"168 Queen St, Willoughby NSW 2440",Willoughby,3,2,1,Villa,https://www.realestateview.com.au/property/willoughby/villa-2,realestateview.com.au
"Guide $860,163",860163.0,"711 Queen St, Willoughby NSW 2775",Willoughby,2,2,0,Villa,https://www.rent.com.au/property/willoughby/villa-3,rent.com.au
"Guide $1,401,359",1401359.0,"50 George St, Willoughby NSW 2148",Willoughby,0,1,0,Studio,https://www.rent.com.au/property/willoughby/studio-4,rent.com.au
"From $1,726,267",1726267.0,"609 Albert St, Willoughby NSW 2224",Willoughby,4,3,2,Townhouse,https://www.rent.com.au/property/willoughby/townhouse-5,rent.com.au
"$1,900,397",1900397.0,"813 Market St, Willoughby NSW 2725",Willoughby,0,1,0,Studio,https://www.rent.com.au/property/willoughby/studio-6,rent.com.au
"$585,516 ONO",585516.0,"860 Albert St, Willoughby NSW 2494",Willoughby,3,4,0,Villa,https://www.realestateview.com.au/property/willoughby/villa-7,realestateview.com.au
"From $1,613,250",1613250.0,"982 Princes Highway, Willoughby NSW 2330",Willoughby,6,4,0,Penthouse,https://www.realestate.com.au/property/willoughby/penthouse-8,realestate.com.au
"$2,151,553 - $2,360,050",2151553.0,"761 King St, Willoughby NSW 2829",Willoughby,0,1,2,Studio,https://www.rent.com.au/property/willoughby/studio-9,rent.com.au
"From $1,372,594",1372594.0,"217 Beach Rd, Willoughby NSW 2934",Willoughby,5,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/willoughby/apartment--unit--flat-10,rent.com.au
"$1,944,949",1944949.0,"805 Ocean Rd, Willoughby NSW 2163",Willoughby,2,3,2,Apartment / Unit / Flat,https://www.rent.com.au/property/willoughby/apartment--unit--flat-11,rent.com.au
"Guide $980,684",980684.0,"475 Railway St, Willoughby NSW 2898",Willoughby,4,1,1,Villa,https://www.realestateview.com.au/property/willoughby/villa-12,realestateview.com.au
"$1,918,937 - $2,095,127",1918937.0,"979 Military Rd, Willoughby NSW 2181",Willoughby,4,3,1,Villa,https://www.realestateview.com.au/property/willoughby/villa-13,realestateview.com.au
"Guide $1,073,208",1073208.0,"903 High St, Willoughby NSW 2303",Willoughby,4,4,3,Apartment / Unit / Flat,https://www.domain.com.au/property/willoughby/apartment--unit--flat-14,domain.com.au
"$1,906,852",1906852.0,"674 Park Ave, Willoughby NSW 2872",Willoughby,2,3,1,House,https://www.domain.com.au/property/willoughby/house-16,domain.com.au
"$778,481",778481.0,"763 Military Rd, Willoughby NSW 2170",Willoughby,3,2,2,Villa,https://www.domain.com.au/property/willoughby/villa-17,domain.com.au
"$1,507,470 - $1,676,160",1507470.0,"517 William St, Willoughby NSW 2010",Willoughby,4,3,2,House,https://www.realestate.com.au/property/willoughby/house-18,realestate.com.au
"Guide $998,241",998241.0,"164 William St, Willoughby NSW 2833",Willoughby,6,3,0,Townhouse,https://www.realestateview.com.au/property/willoughby/townhouse-19,realestateview.com.au
"$1,193,677 - $1,256,599",1193677.0,"907 The Boulevarde, Willoughby NSW 2678",Willoughby,0,1,3,Studio,https://www.rent.com.au/property/willoughby/studio-20,rent.com.au
"Guide $949,268",949268.0,"226 Railway St, Willoughby NSW 2890",Willoughby,0,1,1,Studio,https://www.domain.com.au/property/willoughby/studio-21,domain.com.au
"$996,999 ONO",996999.0,"547 Railway St, Willoughby NSW 2559",Willoughby,2,3,0,Townhouse,https://www.realestate.com.au/property/willoughby/townhouse-22,realestate.com.au
"$2,444,822 - $2,601,799",2444822.0,"955 Church St, Willoughby NSW 2085",Willoughby,2,2,4,Apartment / Unit / Flat,https://www.rent.com.au/property/willoughby/apartment--unit--flat-23,rent.com.au
"$992,015 - $1,255,197",992015.0,"664 Military Rd, Willoughby NSW 2327",Willoughby,1,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/willoughby/apartment--unit--flat-24,domain.com.au
