price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $2,464,819",2464819.0,"618 Market St, Willoughby East NSW 2857",Willoughby East,3,4,3,Townhouse,https://www.realestate.com.au/property/willoughby-east/townhouse-0,realestate.com.au
"Guide $1,505,276",1505276.0,"243 Railway St, Willoughby East NSW 2771",Willoughby East,5,1,0,House,https://www.realestate.com.au/property/willoughby-east/house-1,realestate.com.au
"Guide $1,394,650",1394650.0,"818 Edward St, Willoughby East NSW 2932",Willoughby East,0,1,2,Studio,https://www.realestate.com.au/property/willoughby-east/studio-2,realestate.com.au
"From $2,038,680",2038680.0,"711 Main St, Willoughby East NSW 2264",Willoughby East,1,2,2,House,https://www.realestate.com.au/property/willoughby-east/house-3,realestate.com.au
"$1,755,359",1755359.0,"136 The Boulevarde, Willoughby East NSW 2083",Willoughby East,1,1,3,Townhouse,https://www.rent.com.au/property/willoughby-east/townhouse-4,rent.com.au
"$1,439,438 ONO",1439438.0,"95 George St, Willoughby East NSW 2397",Willoughby East,3,2,0,Townhouse,https://www.domain.com.au/property/willoughby-east/townhouse-5,domain.com.au
"$2,462,009 - $2,568,142",2462009.0,"348 Edward St, Willoughby East NSW 2396",Willoughby East,3,3,3,Townhouse,https://www.realestateview.com.au/property/willoughby-east/townhouse-7,realestateview.com.au
"From $1,008,512",1008512.0,"172 Victoria St, Willoughby East NSW 2338",Willoughby East,1,1,2,House,https://www.rent.com.au/property/willoughby-east/house-8,rent.com.au
"$2,038,152",2038152.0,"161 High St, Willoughby East NSW 2926",Willoughby East,4,2,2,Penthouse,https://www.realestate.com.au/property/willoughby-east/penthouse-9,realestate.com.au
"From $616,863",616863.0,"140 Railway St, Willoughby East NSW 2721",Willoughby East,3,2,4,Penthouse,https://www.realestate.com.au/property/willoughby-east/penthouse-10,realestate.com.au
"$2,311,447",2311447.0,"962 Princes Highway, Willoughby East NSW 2860",Willoughby East,3,3,0,Penthouse,https://www.domain.com.au/property/willoughby-east/penthouse-11,domain.com.au
"$811,119 - $948,567",811119.0,"254 Ocean Rd, Willoughby East NSW 2704",Willoughby East,3,2,1,Penthouse,https://www.realestate.com.au/property/willoughby-east/penthouse-12,realestate.com.au
"From $2,474,503",2474503.0,"454 King St, Willoughby East NSW 2678",Willoughby East,6,3,1,Penthouse,https://www.domain.com.au/property/willoughby-east/penthouse-13,domain.com.au
"$908,390 ONO",908390.0,"671 Albert St, Willoughby East NSW 2374",Willoughby East,0,1,0,Studio,https://www.realestateview.com.au/property/willoughby-east/studio-14,realestateview.com.au
"$1,198,291",1198291.0,"825 The Boulevarde, Willoughby East NSW 2169",Willoughby East,3,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/willoughby-east/apartment--unit--flat-15,realestate.com.au
"$1,518,408",1518408.0,"989 Main St, Willoughby East NSW 2329",Willoughby East,4,4,2,House,https://www.realestate.com.au/property/willoughby-east/house-16,realestate.com.au
"$1,372,478",1372478.0,"906 Main St, Willoughby East NSW 2305",Willoughby East,1,2,0,Villa,https://www.realestate.com.au/property/willoughby-east/villa-17,realestate.com.au
"$1,052,975 ONO",1052975.0,"359 Elizabeth St, Willoughby East NSW 2207",Willoughby East,3,4,2,Villa,https://www.rent.com.au/property/willoughby-east/villa-18,rent.com.au
"Guide $2,136,555",2136555.0,"830 Railway St, Willoughby East NSW 2540",Willoughby East,2,3,1,Townhouse,https://www.rent.com.au/property/willoughby-east/townhouse-19,rent.com.au
"Guide $1,972,747",1972747.0,"281 Queen St, Willoughby East NSW 2297",Willoughby East,1,2,3,Townhouse,https://www.realestate.com.au/property/willoughby-east/townhouse-20,realestate.com.au
"$1,698,562 - $1,882,239",1698562.0,"764 Pacific Highway, Willoughby East NSW 2934",Willoughby East,5,4,1,Penthouse,https://www.realestateview.com.au/property/willoughby-east/penthouse-21,realestateview.com.au
"From $1,947,036",1947036.0,"856 King St, Willoughby East NSW 2716",Willoughby East,4,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/willoughby-east/apartment--unit--flat-22,realestate.com.au
"Guide $1,018,498",1018498.0,"770 Albert St, Willoughby East NSW 2656",Willoughby East,4,1,0,Townhouse,https://www.realestate.com.au/property/willoughby-east/townhouse-23,realestate.com.au
"$2,342,044 ONO",2342044.0,"608 George St, Willoughby East NSW 2693",Willoughby East,2,1,0,House,https://www.realestate.com.au/property/willoughby-east/house-24,realestate.com.au
