price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,353,032 ONO",1353032.0,"42 James St, Wolli Creek NSW 2792",Wolli Creek,5,3,1,Penthouse,https://www.rent.com.au/property/wolli-creek/penthouse-0,rent.com.au
"$1,712,080 ONO",1712080.0,"442 Elizabeth St, Wolli Creek NSW 2481",Wolli Creek,5,3,1,Townhouse,https://www.realestateview.com.au/property/wolli-creek/townhouse-2,realestateview.com.au
"$1,690,834 ONO",1690834.0,"518 High St, Wolli Creek NSW 2848",Wolli Creek,3,3,2,Townhouse,https://www.realestateview.com.au/property/wolli-creek/townhouse-3,realestateview.com.au
"$2,490,297 ONO",2490297.0,"261 Church St, Wolli Creek NSW 2858",Wolli Creek,3,4,1,Penthouse,https://www.domain.com.au/property/wolli-creek/penthouse-4,domain.com.au
"$956,388 ONO",956388.0,"846 Albert St, Wolli Creek NSW 2564",Wolli Creek,6,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/wolli-creek/apartment--unit--flat-5,realestateview.com.au
"Guide $580,236",580236.0,"886 Military Rd, Wolli Creek NSW 2174",Wolli Creek,6,2,1,Penthouse,https://www.realestateview.com.au/property/wolli-creek/penthouse-6,realestateview.com.au
"$1,763,378 - $1,846,432",1763378.0,"66 Queen St, Wolli Creek NSW 2415",Wolli Creek,4,4,1,Penthouse,https://www.realestate.com.au/property/wolli-creek/penthouse-7,realestate.com.au
"$2,472,604 ONO",2472604.0,"809 Beach Rd, Wolli Creek NSW 2303",Wolli Creek,3,2,1,House,https://www.realestate.com.au/property/wolli-creek/house-8,realestate.com.au
"$825,886 - $953,427",825886.0,"957 Albert St, Wolli Creek NSW 2949",Wolli Creek,1,2,4,Apartment / Unit / Flat,https://www.domain.com.au/property/wolli-creek/apartment--unit--flat-9,domain.com.au
"Guide $1,227,975",1227975.0,"277 William St, Wolli Creek NSW 2669",Wolli Creek,4,4,0,Villa,https://www.realestate.com.au/property/wolli-creek/villa-10,realestate.com.au
"Guide $2,252,885",2252885.0,"310 Military Rd, Wolli Creek NSW 2884",Wolli Creek,3,2,1,House,https://www.rent.com.au/property/wolli-creek/house-11,rent.com.au
"$613,571",613571.0,"426 Main St, Wolli Creek NSW 2821",Wolli Creek,4,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/wolli-creek/apartment--unit--flat-12,rent.com.au
"$1,880,351 - $2,052,148",1880351.0,"522 Market St, Wolli Creek NSW 2700",Wolli Creek,0,1,2,Studio,https://www.realestate.com.au/property/wolli-creek/studio-13,realestate.com.au
"$2,134,369 - $2,191,449",2134369.0,"570 Ocean Rd, Wolli Creek NSW 2402",Wolli Creek,3,4,1,Penthouse,https://www.realestate.com.au/property/wolli-creek/penthouse-14,realestate.com.au
"$1,739,985",1739985.0,"356 Elizabeth St, Wolli Creek NSW 2958",Wolli Creek,4,4,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/wolli-creek/apartment--unit--flat-15,realestateview.com.au
"$2,040,284",2040284.0,"739 Park Ave, Wolli Creek NSW 2238",Wolli Creek,2,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/wolli-creek/apartment--unit--flat-16,realestate.com.au
"$570,803 ONO",570803.0,"225 James St, Wolli Creek NSW 2506",Wolli Creek,2,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/wolli-creek/apartment--unit--flat-17,domain.com.au
"Guide $2,436,742",2436742.0,"129 King St, Wolli Creek NSW 2033",Wolli Creek,5,3,4,Penthouse,https://www.rent.com.au/property/wolli-creek/penthouse-18,rent.com.au
"$983,496 - $1,148,225",983496.0,"416 Church St, Wolli Creek NSW 2334",Wolli Creek,4,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/wolli-creek/apartment--unit--flat-19,realestate.com.au
"From $529,772",529772.0,"832 High St, Wolli Creek NSW 2837",Wolli Creek,2,2,1,Villa,https://www.realestateview.com.au/property/wolli-creek/villa-20,realestateview.com.au
"From $567,315",567315.0,"407 Ocean Rd, Wolli Creek NSW 2846",Wolli Creek,3,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/wolli-creek/apartment--unit--flat-21,rent.com.au
"$2,020,439 - $2,207,176",2020439.0,"29 Victoria St, Wolli Creek NSW 2518",Wolli Creek,1,1,0,House,https://www.domain.com.au/property/wolli-creek/house-23,domain.com.au
"Guide $1,432,752",1432752.0,"196 Main St, Wolli Creek NSW 2416",Wolli Creek,3,1,0,House,https://www.realestateview.com.au/property/wolli-creek/house-24,realestateview.com.au
"Guide $979,359",979359.0,"472 Elizabeth St, Wolli Creek NSW 2025",Wolli Creek,2,2,0,House,https://www.rent.com.au/property/wolli-creek/house-0,rent.com.au
"$1,371,676",1371676.0,"788 High St, Wolli Creek NSW 2414",Wolli Creek,1,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/wolli-creek/apartment--unit--flat-1,realestateview.com.au
"Guide $528,213",528213.0,"42 King St, Wolli Creek NSW 2742",Wolli Creek,3,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/wolli-creek/apartment--unit--flat-2,domain.com.au
"From $2,085,760",2085760.0,"806 Pacific Highway, Wolli Creek NSW 2724",Wolli Creek,3,4,3,Townhouse,https://www.realestateview.com.au/property/wolli-creek/townhouse-3,realestateview.com.au
"From $1,912,208",1912208.0,"972 Albert St, Wolli Creek NSW 2937",Wolli Creek,3,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/wolli-creek/apartment--unit--flat-4,domain.com.au
"$1,593,498",1593498.0,"356 Albert St, Wolli Creek NSW 2293",Wolli Creek,2,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/wolli-creek/apartment--unit--flat-5,realestateview.com.au
"Guide $2,380,095",2380095.0,"137 Pacific Highway, Wolli Creek NSW 2046",Wolli Creek,2,1,3,Townhouse,https://www.realestateview.com.au/property/wolli-creek/townhouse-6,realestateview.com.au
"From $1,468,793",1468793.0,"641 George St, Wolli Creek NSW 2945",Wolli Creek,2,1,4,House,https://www.domain.com.au/property/wolli-creek/house-7,domain.com.au
"$819,228 ONO",819228.0,"13 William St, Wolli Creek NSW 2909",Wolli Creek,0,1,2,Studio,https://www.domain.com.au/property/wolli-creek/studio-8,domain.com.au
"$1,452,229 ONO",1452229.0,"363 Railway St, Wolli Creek NSW 2256",Wolli Creek,0,1,3,Studio,https://www.realestateview.com.au/property/wolli-creek/studio-9,realestateview.com.au
"$1,231,343",1231343.0,"837 George St, Wolli Creek NSW 2936",Wolli Creek,1,2,1,House,https://www.realestateview.com.au/property/wolli-creek/house-10,realestateview.com.au
"Guide $1,396,726",1396726.0,"550 William St, Wolli Creek NSW 2815",Wolli Creek,0,1,0,Studio,https://www.realestateview.com.au/property/wolli-creek/studio-11,realestateview.com.au
"$1,947,075",1947075.0,"182 George St, Wolli Creek NSW 2241",Wolli Creek,3,4,1,House,https://www.rent.com.au/property/wolli-creek/house-13,rent.com.au
"From $608,843",608843.0,"336 Railway St, Wolli Creek NSW 2230",Wolli Creek,1,1,0,House,https://www.domain.com.au/property/wolli-creek/house-14,domain.com.au
"Guide $1,015,512",1015512.0,"482 Queen St, Wolli Creek NSW 2907",Wolli Creek,3,4,3,House,https://www.rent.com.au/property/wolli-creek/house-15,rent.com.au
"$1,644,471 - $1,942,532",1644471.0,"933 Queen St, Wolli Creek NSW 2142",Wolli Creek,0,1,2,Studio,https://www.realestate.com.au/property/wolli-creek/studio-16,realestate.com.au
"$2,031,419 - $2,288,841",2031419.0,"76 George St, Wolli Creek NSW 2345",Wolli Creek,0,1,1,Studio,https://www.rent.com.au/property/wolli-creek/studio-17,rent.com.au
"$2,115,826",2115826.0,"664 James St, Wolli Creek NSW 2107",Wolli Creek,2,2,0,House,https://www.domain.com.au/property/wolli-creek/house-18,domain.com.au
"From $1,186,729",1186729.0,"612 King St, Wolli Creek NSW 2718",Wolli Creek,0,1,1,Studio,https://www.realestateview.com.au/property/wolli-creek/studio-19,realestateview.com.au
"$1,667,361",1667361.0,"18 James St, Wolli Creek NSW 2510",Wolli Creek,3,4,1,Villa,https://www.rent.com.au/property/wolli-creek/villa-20,rent.com.au
"$2,034,705",2034705.0,"733 High St, Wolli Creek NSW 2981",Wolli Creek,0,1,0,Studio,https://www.domain.com.au/property/wolli-creek/studio-21,domain.com.au
"From $2,363,336",2363336.0,"559 Beach Rd, Wolli Creek NSW 2838",Wolli Creek,5,3,2,Penthouse,https://www.realestateview.com.au/property/wolli-creek/penthouse-22,realestateview.com.au
"$1,317,478",1317478.0,"814 Beach Rd, Wolli Creek NSW 2188",Wolli Creek,1,2,0,Townhouse,https://www.realestateview.com.au/property/wolli-creek/townhouse-23,realestateview.com.au
"$985,149 ONO",985149.0,"988 Princes Highway, Wolli Creek NSW 2914",Wolli Creek,1,1,1,Villa,https://www.realestate.com.au/property/wolli-creek/villa-24,realestate.com.au
