price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $769,542",769542.0,"112 Ocean Rd, Wollstonecraft NSW 2717",Wollstonecraft,4,4,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/wollstonecraft/apartment--unit--flat-0,realestate.com.au
"Guide $2,041,237",2041237.0,"570 The Boulevarde, Wollstonecraft NSW 2603",Wollstonecraft,3,1,2,Villa,https://www.rent.com.au/property/wollstonecraft/villa-1,rent.com.au
"$1,291,335",1291335.0,"306 The Boulevarde, Wollstonecraft NSW 2382",Wollstonecraft,0,1,0,Studio,https://www.realestateview.com.au/property/wollstonecraft/studio-2,realestateview.com.au
"$1,069,028 - $1,134,601",1069028.0,"802 Church St, Wollstonecraft NSW 2297",Wollstonecraft,2,2,0,House,https://www.domain.com.au/property/wollstonecraft/house-3,domain.com.au
"$788,571 - $912,931",788571.0,"974 High St, Wollstonecraft NSW 2495",Wollstonecraft,4,2,2,House,https://www.domain.com.au/property/wollstonecraft/house-4,domain.com.au
"$1,703,252 ONO",1703252.0,"256 Queen St, Wollstonecraft NSW 2529",Wollstonecraft,5,2,2,House,https://www.domain.com.au/property/wollstonecraft/house-5,domain.com.au
"From $730,558",730558.0,"46 James St, Wollstonecraft NSW 2402",Wollstonecraft,4,2,3,Villa,https://www.rent.com.au/property/wollstonecraft/villa-6,rent.com.au
"$1,381,820",1381820.0,"363 King St, Wollstonecraft NSW 2469",Wollstonecraft,3,4,1,House,https://www.rent.com.au/property/wollstonecraft/house-7,rent.com.au
"From $1,782,632",1782632.0,"521 Albert St, Wollstonecraft NSW 2817",Wollstonecraft,2,3,3,Townhouse,https://www.rent.com.au/property/wollstonecraft/townhouse-8,rent.com.au
"Guide $1,275,895",1275895.0,"955 Ocean Rd, Wollstonecraft NSW 2151",Wollstonecraft,0,1,2,Studio,https://www.realestate.com.au/property/wollstonecraft/studio-10,realestate.com.au
"$1,727,020 ONO",1727020.0,"686 James St, Wollstonecraft NSW 2702",Wollstonecraft,3,2,0,Penthouse,https://www.rent.com.au/property/wollstonecraft/penthouse-11,rent.com.au
"$2,095,911 - $2,259,805",2095911.0,"292 George St, Wollstonecraft NSW 2058",Wollstonecraft,3,4,3,Townhouse,https://www.domain.com.au/property/wollstonecraft/townhouse-12,domain.com.au
"Guide $2,156,240",2156240.0,"940 The Boulevarde, Wollstonecraft NSW 2860",Wollstonecraft,3,4,0,Villa,https://www.domain.com.au/property/wollstonecraft/villa-13,domain.com.au
"$1,463,141",1463141.0,"218 Elizabeth St, Wollstonecraft NSW 2694",Wollstonecraft,2,1,0,Villa,https://www.domain.com.au/property/wollstonecraft/villa-14,domain.com.au
"$2,232,877 ONO",2232877.0,"125 Ocean Rd, Wollstonecraft NSW 2565",Wollstonecraft,2,2,3,Villa,https://www.rent.com.au/property/wollstonecraft/villa-16,rent.com.au
"$1,772,079",1772079.0,"536 Edward St, Wollstonecraft NSW 2085",Wollstonecraft,4,2,2,Penthouse,https://www.rent.com.au/property/wollstonecraft/penthouse-17,rent.com.au
"$2,196,256",2196256.0,"491 High St, Wollstonecraft NSW 2431",Wollstonecraft,3,4,2,Apartment / Unit / Flat,https://www.domain.com.au/property/wollstonecraft/apartment--unit--flat-19,domain.com.au
"$2,009,778 - $2,109,632",2009778.0,"106 Market St, Wollstonecraft NSW 2942",Wollstonecraft,5,2,0,Penthouse,https://www.domain.com.au/property/wollstonecraft/penthouse-20,domain.com.au
"Guide $1,794,135",1794135.0,"377 Market St, Wollstonecraft NSW 2456",Wollstonecraft,1,2,1,Townhouse,https://www.domain.com.au/property/wollstonecraft/townhouse-21,domain.com.au
"$2,441,506 - $2,700,305",2441506.0,"573 George St, Wollstonecraft NSW 2264",Wollstonecraft,5,1,1,Townhouse,https://www.realestate.com.au/property/wollstonecraft/townhouse-22,realestate.com.au
"Guide $1,516,056",1516056.0,"539 Beach Rd, Wollstonecraft NSW 2537",Wollstonecraft,4,2,3,House,https://www.rent.com.au/property/wollstonecraft/house-23,rent.com.au
"Guide $2,221,849",2221849.0,"458 Elizabeth St, Wollstonecraft NSW 2861",Wollstonecraft,4,4,0,House,https://www.domain.com.au/property/wollstonecraft/house-24,domain.com.au
