price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,174,458 - $1,301,868",1174458.0,"856 James St, Woolooware NSW 2649",Woolooware,3,2,1,House,https://www.rent.com.au/property/woolooware/house-0,rent.com.au
"From $1,557,223",1557223.0,"623 King St, Woolooware NSW 2045",Woolooware,4,2,0,Villa,https://www.realestateview.com.au/property/woolooware/villa-1,realestateview.com.au
"Guide $964,320",964320.0,"239 High St, Woolooware NSW 2629",Woolooware,4,4,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/woolooware/apartment--unit--flat-2,realestateview.com.au
"Guide $1,537,225",1537225.0,"712 William St, Woolooware NSW 2119",Woolooware,4,1,2,House,https://www.rent.com.au/property/woolooware/house-3,rent.com.au
"Guide $2,217,130",2217130.0,"494 Ocean Rd, Woolooware NSW 2530",Woolooware,2,2,3,Villa,https://www.rent.com.au/property/woolooware/villa-4,rent.com.au
"$1,106,578 ONO",1106578.0,"137 Edward St, Woolooware NSW 2623",Woolooware,2,2,0,Villa,https://www.rent.com.au/property/woolooware/villa-5,rent.com.au
"From $2,011,185",2011185.0,"627 Pacific Highway, Woolooware NSW 2706",Woolooware,2,1,1,Townhouse,https://www.rent.com.au/property/woolooware/townhouse-6,rent.com.au
"$1,379,192",1379192.0,"541 Military Rd, Woolooware NSW 2575",Woolooware,4,1,2,Townhouse,https://www.domain.com.au/property/woolooware/townhouse-7,domain.com.au
"$1,920,209 ONO",1920209.0,"416 Queen St, Woolooware NSW 2163",Woolooware,3,3,0,Townhouse,https://www.domain.com.au/property/woolooware/townhouse-8,domain.com.au
"$1,882,312 ONO",1882312.0,"268 Pacific Highway, Woolooware NSW 2977",Woolooware,3,2,2,Townhouse,https://www.realestateview.com.au/property/woolooware/townhouse-9,realestateview.com.au
"From $1,447,560",1447560.0,"44 Edward St, Woolooware NSW 2902",Woolooware,5,1,0,Villa,https://www.domain.com.au/property/woolooware/villa-10,domain.com.au
"From $1,661,774",1661774.0,"870 Church St, Woolooware NSW 2438",Woolooware,0,1,2,Studio,https://www.domain.com.au/property/woolooware/studio-11,domain.com.au
"$1,359,088 - $1,604,378",1359088.0,"841 Pacific Highway, Woolooware NSW 2664",Woolooware,0,1,4,Studio,https://www.realestate.com.au/property/woolooware/studio-12,realestate.com.au
"Guide $1,447,761",1447761.0,"954 Military Rd, Woolooware NSW 2242",Woolooware,3,2,0,Townhouse,https://www.realestate.com.au/property/woolooware/townhouse-13,realestate.com.au
"$2,034,957 - $2,247,376",2034957.0,"681 James St, Woolooware NSW 2723",Woolooware,3,4,1,Villa,https://www.domain.com.au/property/woolooware/villa-14,domain.com.au
"From $1,102,772",1102772.0,"576 Railway St, Woolooware NSW 2010",Woolooware,3,3,1,Townhouse,https://www.realestateview.com.au/property/woolooware/townhouse-15,realestateview.com.au
"$1,333,234 - $1,392,249",1333234.0,"85 William St, Woolooware NSW 2200",Woolooware,3,4,1,House,https://www.realestate.com.au/property/woolooware/house-16,realestate.com.au
"$2,288,403 ONO",2288403.0,"409 King St, Woolooware NSW 2411",Woolooware,0,1,0,Studio,https://www.domain.com.au/property/woolooware/studio-19,domain.com.au
"$1,207,390",1207390.0,"178 Market St, Woolooware NSW 2363",Woolooware,3,2,2,House,https://www.domain.com.au/property/woolooware/house-20,domain.com.au
"$1,068,627",1068627.0,"370 Park Ave, Woolooware NSW 2976",Woolooware,3,3,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/woolooware/apartment--unit--flat-21,realestateview.com.au
"From $1,602,766",1602766.0,"807 Ocean Rd, Woolooware NSW 2868",Woolooware,1,2,1,House,https://www.domain.com.au/property/woolooware/house-22,domain.com.au
