price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $793,139",793139.0,"516 Beach Rd, Woolwich NSW 2722",Woolwich,2,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/woolwich/apartment--unit--flat-0,realestateview.com.au
"$689,069 ONO",689069.0,"336 Queen St, Woolwich NSW 2932",Woolwich,2,3,1,House,https://www.domain.com.au/property/woolwich/house-1,domain.com.au
"From $1,671,813",1671813.0,"383 Market St, Woolwich NSW 2924",Woolwich,2,3,4,Apartment / Unit / Flat,https://www.rent.com.au/property/woolwich/apartment--unit--flat-3,rent.com.au
"Guide $2,208,230",2208230.0,"491 Military Rd, Woolwich NSW 2728",Woolwich,2,1,0,Townhouse,https://www.rent.com.au/property/woolwich/townhouse-4,rent.com.au
"From $972,151",972151.0,"544 Queen St, Woolwich NSW 2947",Woolwich,0,1,0,Studio,https://www.domain.com.au/property/woolwich/studio-6,domain.com.au
"$587,217",587217.0,"798 George St, Woolwich NSW 2144",Woolwich,4,4,4,Penthouse,https://www.domain.com.au/property/woolwich/penthouse-7,domain.com.au
"$1,511,876",1511876.0,"475 William St, Woolwich NSW 2034",Woolwich,0,1,0,Studio,https://www.rent.com.au/property/woolwich/studio-8,rent.com.au
"$1,989,943 - $2,086,558",1989943.0,"82 Pacific Highway, Woolwich NSW 2903",Woolwich,3,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/woolwich/apartment--unit--flat-10,domain.com.au
"$705,342",705342.0,"756 Main St, Woolwich NSW 2511",Woolwich,5,2,2,House,https://www.realestateview.com.au/property/woolwich/house-11,realestateview.com.au
"$2,105,787 ONO",2105787.0,"432 Railway St, Woolwich NSW 2877",Woolwich,6,2,2,Penthouse,https://www.rent.com.au/property/woolwich/penthouse-12,rent.com.au
"$605,075",605075.0,"77 The Boulevarde, Woolwich NSW 2382",Woolwich,6,2,0,Penthouse,https://www.rent.com.au/property/woolwich/penthouse-13,rent.com.au
"$2,095,782 - $2,205,962",2095782.0,"119 Edward St, Woolwich NSW 2333",Woolwich,4,2,1,House,https://www.realestateview.com.au/property/woolwich/house-14,realestateview.com.au
"$1,985,629 ONO",1985629.0,"966 Park Ave, Woolwich NSW 2707",Woolwich,2,1,3,House,https://www.realestate.com.au/property/woolwich/house-15,realestate.com.au
"From $1,441,650",1441650.0,"507 Market St, Woolwich NSW 2844",Woolwich,4,4,2,Penthouse,https://www.realestate.com.au/property/woolwich/penthouse-16,realestate.com.au
"From $673,995",673995.0,"509 Church St, Woolwich NSW 2710",Woolwich,3,1,1,Townhouse,https://www.realestate.com.au/property/woolwich/townhouse-18,realestate.com.au
"$1,032,050 ONO",1032050.0,"803 Military Rd, Woolwich NSW 2810",Woolwich,4,3,0,Villa,https://www.realestate.com.au/property/woolwich/villa-19,realestate.com.au
"$2,338,383 ONO",2338383.0,"65 Park Ave, Woolwich NSW 2971",Woolwich,4,4,4,Townhouse,https://www.realestate.com.au/property/woolwich/townhouse-20,realestate.com.au
"Guide $1,270,388",1270388.0,"636 James St, Woolwich NSW 2456",Woolwich,0,1,4,Studio,https://www.realestate.com.au/property/woolwich/studio-21,realestate.com.au
"From $1,586,969",1586969.0,"762 George St, Woolwich NSW 2088",Woolwich,3,4,1,Penthouse,https://www.realestateview.com.au/property/woolwich/penthouse-22,realestateview.com.au
"$2,334,308 ONO",2334308.0,"83 King St, Woolwich NSW 2667",Woolwich,6,4,1,Penthouse,https://www.realestateview.com.au/property/woolwich/penthouse-23,realestateview.com.au
"Guide $2,109,065",2109065.0,"587 Pacific Highway, Woolwich NSW 2890",Woolwich,3,2,2,Villa,https://www.rent.com.au/property/woolwich/villa-24,rent.com.au
