price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,966,024",1966024.0,"649 King St, Woronora NSW 2181",Woronora,2,3,3,House,https://www.rent.com.au/property/woronora/house-0,rent.com.au
"From $1,334,158",1334158.0,"709 Church St, Woronora NSW 2725",Woronora,4,4,1,House,https://www.realestate.com.au/property/woronora/house-1,realestate.com.au
"Guide $1,256,724",1256724.0,"852 Victoria St, Woronora NSW 2701",Woronora,1,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/woronora/apartment--unit--flat-2,realestate.com.au
"$1,868,026 ONO",1868026.0,"151 Ocean Rd, Woronora NSW 2702",Woronora,0,1,3,Studio,https://www.domain.com.au/property/woronora/studio-4,domain.com.au
"Guide $2,350,911",2350911.0,"561 George St, Woronora NSW 2654",Woronora,3,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/woronora/apartment--unit--flat-5,realestate.com.au
"$1,642,682 ONO",1642682.0,"843 Railway St, Woronora NSW 2017",Woronora,0,1,2,Studio,https://www.domain.com.au/property/woronora/studio-6,domain.com.au
"From $1,180,975",1180975.0,"184 Beach Rd, Woronora NSW 2100",Woronora,2,2,0,Villa,https://www.domain.com.au/property/woronora/villa-8,domain.com.au
"Guide $990,219",990219.0,"663 King St, Woronora NSW 2912",Woronora,0,1,1,Studio,https://www.domain.com.au/property/woronora/studio-9,domain.com.au
"$1,949,116 ONO",1949116.0,"761 James St, Woronora NSW 2264",Woronora,1,2,3,House,https://www.realestateview.com.au/property/woronora/house-10,realestateview.com.au
"$860,899 ONO",860899.0,"638 William St, Woronora NSW 2780",Woronora,0,1,3,Studio,https://www.domain.com.au/property/woronora/studio-11,domain.com.au
"$874,918",874918.0,"217 Edward St, Woronora NSW 2549",Woronora,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/woronora/apartment--unit--flat-12,domain.com.au
"Guide $1,968,754",1968754.0,"11 William St, Woronora NSW 2800",Woronora,2,2,1,Villa,https://www.rent.com.au/property/woronora/villa-13,rent.com.au
"$2,376,179 ONO",2376179.0,"488 The Boulevarde, Woronora NSW 2224",Woronora,4,4,0,Villa,https://www.domain.com.au/property/woronora/villa-14,domain.com.au
"$1,010,251",1010251.0,"270 High St, Woronora NSW 2803",Woronora,2,3,0,Townhouse,https://www.realestate.com.au/property/woronora/townhouse-15,realestate.com.au
"$1,811,324 - $1,974,341",1811324.0,"740 Pacific Highway, Woronora NSW 2444",Woronora,0,1,1,Studio,https://www.rent.com.au/property/woronora/studio-16,rent.com.au
"$2,401,636 - $2,467,051",2401636.0,"306 Military Rd, Woronora NSW 2654",Woronora,2,2,0,Villa,https://www.domain.com.au/property/woronora/villa-18,domain.com.au
"$1,830,913 ONO",1830913.0,"731 Princes Highway, Woronora NSW 2558",Woronora,5,4,1,Penthouse,https://www.realestateview.com.au/property/woronora/penthouse-20,realestateview.com.au
"$1,798,629",1798629.0,"39 Railway St, Woronora NSW 2304",Woronora,3,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/woronora/apartment--unit--flat-21,domain.com.au
"$1,350,424 ONO",1350424.0,"238 Beach Rd, Woronora NSW 2203",Woronora,3,2,2,Villa,https://www.rent.com.au/property/woronora/villa-23,rent.com.au
"$1,019,140 - $1,257,738",1019140.0,"464 High St, Woronora NSW 2723",Woronora,1,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/woronora/apartment--unit--flat-24,rent.com.au
