price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,938,033",1938033.0,"279 Railway St, Woronora Heights NSW 2740",Woronora Heights,2,2,3,Townhouse,https://www.realestate.com.au/property/woronora-heights/townhouse-2,realestate.com.au
"$1,239,918",1239918.0,"238 George St, Woronora Heights NSW 2188",Woronora Heights,3,2,2,House,https://www.rent.com.au/property/woronora-heights/house-3,rent.com.au
"Guide $2,374,081",2374081.0,"948 Church St, Woronora Heights NSW 2487",Woronora Heights,6,3,3,Penthouse,https://www.realestateview.com.au/property/woronora-heights/penthouse-4,realestateview.com.au
"$1,301,139 - $1,597,862",1301139.0,"828 Albert St, Woronora Heights NSW 2337",Woronora Heights,5,4,2,Penthouse,https://www.realestate.com.au/property/woronora-heights/penthouse-5,realestate.com.au
"$569,248",569248.0,"664 Elizabeth St, Woronora Heights NSW 2062",Woronora Heights,3,3,0,Townhouse,https://www.rent.com.au/property/woronora-heights/townhouse-6,rent.com.au
"Guide $1,584,148",1584148.0,"827 Pacific Highway, Woronora Heights NSW 2528",Woronora Heights,4,4,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/woronora-heights/apartment--unit--flat-7,realestateview.com.au
"$1,787,298 - $1,954,627",1787298.0,"964 Main St, Woronora Heights NSW 2181",Woronora Heights,0,1,3,Studio,https://www.realestate.com.au/property/woronora-heights/studio-8,realestate.com.au
"$2,385,337 - $2,506,200",2385337.0,"110 Queen St, Woronora Heights NSW 2758",Woronora Heights,4,1,2,House,https://www.realestateview.com.au/property/woronora-heights/house-9,realestateview.com.au
"$745,789 ONO",745789.0,"469 Albert St, Woronora Heights NSW 2327",Woronora Heights,1,2,0,House,https://www.realestateview.com.au/property/woronora-heights/house-10,realestateview.com.au
"From $2,277,716",2277716.0,"54 Pacific Highway, Woronora Heights NSW 2244",Woronora Heights,6,3,0,Penthouse,https://www.domain.com.au/property/woronora-heights/penthouse-11,domain.com.au
"$1,327,158 - $1,386,819",1327158.0,"645 High St, Woronora Heights NSW 2824",Woronora Heights,3,3,3,Villa,https://www.domain.com.au/property/woronora-heights/villa-12,domain.com.au
"$1,251,896",1251896.0,"284 Princes Highway, Woronora Heights NSW 2631",Woronora Heights,0,1,0,Studio,https://www.realestate.com.au/property/woronora-heights/studio-14,realestate.com.au
"From $1,949,147",1949147.0,"349 Albert St, Woronora Heights NSW 2956",Woronora Heights,3,4,4,Apartment / Unit / Flat,https://www.realestate.com.au/property/woronora-heights/apartment--unit--flat-15,realestate.com.au
"$537,757",537757.0,"338 George St, Woronora Heights NSW 2927",Woronora Heights,0,1,2,Studio,https://www.domain.com.au/property/woronora-heights/studio-16,domain.com.au
"From $908,851",908851.0,"534 High St, Woronora Heights NSW 2546",Woronora Heights,5,1,1,House,https://www.rent.com.au/property/woronora-heights/house-17,rent.com.au
"$760,541 - $901,712",760541.0,"953 William St, Woronora Heights NSW 2650",Woronora Heights,1,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/woronora-heights/apartment--unit--flat-18,realestate.com.au
"$1,728,128",1728128.0,"543 Princes Highway, Woronora Heights NSW 2416",Woronora Heights,3,2,0,Penthouse,https://www.realestateview.com.au/property/woronora-heights/penthouse-19,realestateview.com.au
"Guide $808,545",808545.0,"141 Pacific Highway, Woronora Heights NSW 2795",Woronora Heights,0,1,0,Studio,https://www.rent.com.au/property/woronora-heights/studio-20,rent.com.au
"$2,424,785 - $2,483,563",2424785.0,"598 Elizabeth St, Woronora Heights NSW 2218",Woronora Heights,6,4,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/woronora-heights/apartment--unit--flat-21,realestateview.com.au
"$1,669,847 - $1,811,292",1669847.0,"785 Main St, Woronora Heights NSW 2989",Woronora Heights,0,1,3,Studio,https://www.realestate.com.au/property/woronora-heights/studio-22,realestate.com.au
"$2,147,378 ONO",2147378.0,"593 James St, Woronora Heights NSW 2012",Woronora Heights,6,3,0,Penthouse,https://www.realestateview.com.au/property/woronora-heights/penthouse-24,realestateview.com.au
