price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,805,554",1805554.0,"161 Railway St, Yagoona NSW 2319",Yagoona,4,4,2,House,https://www.rent.com.au/property/yagoona/house-0,rent.com.au
"From $581,782",581782.0,"630 High St, Yagoona NSW 2690",Yagoona,6,2,1,Penthouse,https://www.realestate.com.au/property/yagoona/penthouse-1,realestate.com.au
"$2,372,044",2372044.0,"774 Princes Highway, Yagoona NSW 2631",Yagoona,0,1,3,Studio,https://www.domain.com.au/property/yagoona/studio-3,domain.com.au
"$762,028",762028.0,"955 Elizabeth St, Yagoona NSW 2001",Yagoona,6,4,0,Penthouse,https://www.domain.com.au/property/yagoona/penthouse-4,domain.com.au
"From $1,589,132",1589132.0,"66 Church St, Yagoona NSW 2485",Yagoona,3,1,3,Apartment / Unit / Flat,https://www.rent.com.au/property/yagoona/apartment--unit--flat-5,rent.com.au
"$695,900 ONO",695900.0,"710 Pacific Highway, Yagoona NSW 2614",Yagoona,0,1,0,Studio,https://www.realestate.com.au/property/yagoona/studio-7,realestate.com.au
"$967,334 ONO",967334.0,"847 James St, Yagoona NSW 2697",Yagoona,2,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/yagoona/apartment--unit--flat-8,realestateview.com.au
"$1,359,217 - $1,458,795",1359217.0,"231 Princes Highway, Yagoona NSW 2203",Yagoona,2,3,1,Townhouse,https://www.realestateview.com.au/property/yagoona/townhouse-9,realestateview.com.au
"$1,370,260 ONO",1370260.0,"120 Main St, Yagoona NSW 2440",Yagoona,3,3,3,House,https://www.realestate.com.au/property/yagoona/house-10,realestate.com.au
"$2,359,900 ONO",2359900.0,"595 Princes Highway, Yagoona NSW 2567",Yagoona,3,3,2,Townhouse,https://www.realestate.com.au/property/yagoona/townhouse-11,realestate.com.au
"Guide $1,178,934",1178934.0,"901 Park Ave, Yagoona NSW 2427",Yagoona,0,1,2,Studio,https://www.domain.com.au/property/yagoona/studio-12,domain.com.au
"From $1,099,749",1099749.0,"785 Market St, Yagoona NSW 2137",Yagoona,6,4,1,Penthouse,https://www.realestateview.com.au/property/yagoona/penthouse-13,realestateview.com.au
"From $2,196,475",2196475.0,"769 Main St, Yagoona NSW 2798",Yagoona,2,1,0,Villa,https://www.rent.com.au/property/yagoona/villa-14,rent.com.au
"From $2,285,032",2285032.0,"782 Victoria St, Yagoona NSW 2503",Yagoona,3,2,0,Townhouse,https://www.realestate.com.au/property/yagoona/townhouse-15,realestate.com.au
"$1,397,816 - $1,507,137",1397816.0,"985 Elizabeth St, Yagoona NSW 2026",Yagoona,3,1,0,House,https://www.realestateview.com.au/property/yagoona/house-16,realestateview.com.au
"$2,151,113 ONO",2151113.0,"210 Albert St, Yagoona NSW 2937",Yagoona,0,1,3,Studio,https://www.domain.com.au/property/yagoona/studio-17,domain.com.au
"Guide $2,365,629",2365629.0,"42 King St, Yagoona NSW 2328",Yagoona,0,1,1,Studio,https://www.realestateview.com.au/property/yagoona/studio-18,realestateview.com.au
"Guide $2,026,190",2026190.0,"726 Military Rd, Yagoona NSW 2094",Yagoona,3,4,1,Penthouse,https://www.realestate.com.au/property/yagoona/penthouse-19,realestate.com.au
"Guide $1,536,404",1536404.0,"180 Ocean Rd, Yagoona NSW 2661",Yagoona,2,1,1,Townhouse,https://www.rent.com.au/property/yagoona/townhouse-20,rent.com.au
"$613,280 - $843,663",613280.0,"755 Ocean Rd, Yagoona NSW 2390",Yagoona,3,2,2,Villa,https://www.realestate.com.au/property/yagoona/villa-21,realestate.com.au
"From $682,215",682215.0,"387 Military Rd, Yagoona NSW 2908",Yagoona,2,2,3,Townhouse,https://www.realestate.com.au/property/yagoona/townhouse-22,realestate.com.au
"Guide $2,280,033",2280033.0,"468 Park Ave, Yagoona NSW 2964",Yagoona,0,1,2,Studio,https://www.rent.com.au/property/yagoona/studio-23,rent.com.au
