price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,008,436 - $1,212,990",1008436.0,"237 Ocean Rd, Yowie Bay NSW 2075",Yowie Bay,3,3,1,Villa,https://www.realestate.com.au/property/yowie-bay/villa-0,realestate.com.au
"Guide $1,009,937",1009937.0,"191 King St, Yowie Bay NSW 2649",Yowie Bay,5,2,2,Penthouse,https://www.realestate.com.au/property/yowie-bay/penthouse-1,realestate.com.au
"Guide $1,521,423",1521423.0,"668 High St, Yowie Bay NSW 2585",Yowie Bay,2,1,3,Townhouse,https://www.realestateview.com.au/property/yowie-bay/townhouse-3,realestateview.com.au
"$1,486,751 - $1,566,819",1486751.0,"576 King St, Yowie Bay NSW 2906",Yowie Bay,5,2,3,Penthouse,https://www.realestateview.com.au/property/yowie-bay/penthouse-4,realestateview.com.au
"$913,359 ONO",913359.0,"530 Queen St, Yowie Bay NSW 2807",Yowie Bay,3,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/yowie-bay/apartment--unit--flat-5,realestateview.com.au
"From $791,331",791331.0,"522 Ocean Rd, Yowie Bay NSW 2926",Yowie Bay,0,1,1,Studio,https://www.domain.com.au/property/yowie-bay/studio-6,domain.com.au
"From $1,904,362",1904362.0,"175 Queen St, Yowie Bay NSW 2764",Yowie Bay,5,2,2,Villa,https://www.domain.com.au/property/yowie-bay/villa-7,domain.com.au
"From $719,535",719535.0,"843 Albert St, Yowie Bay NSW 2555",Yowie Bay,1,1,3,Villa,https://www.realestateview.com.au/property/yowie-bay/villa-9,realestateview.com.au
"$2,284,205 - $2,438,265",2284205.0,"447 Park Ave, Yowie Bay NSW 2084",Yowie Bay,3,1,2,Townhouse,https://www.realestateview.com.au/property/yowie-bay/townhouse-10,realestateview.com.au
"From $2,498,455",2498455.0,"5 The Boulevarde, Yowie Bay NSW 2723",Yowie Bay,1,1,3,Townhouse,https://www.realestateview.com.au/property/yowie-bay/townhouse-11,realestateview.com.au
"From $2,420,799",2420799.0,"326 Albert St, Yowie Bay NSW 2834",Yowie Bay,2,3,1,Townhouse,https://www.domain.com.au/property/yowie-bay/townhouse-12,domain.com.au
"Guide $1,465,928",1465928.0,"929 Beach Rd, Yowie Bay NSW 2569",Yowie Bay,2,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/yowie-bay/apartment--unit--flat-13,rent.com.au
"$845,929",845929.0,"493 Market St, Yowie Bay NSW 2371",Yowie Bay,6,3,0,Penthouse,https://www.realestate.com.au/property/yowie-bay/penthouse-14,realestate.com.au
"Guide $1,373,585",1373585.0,"845 King St, Yowie Bay NSW 2612",Yowie Bay,3,1,1,Townhouse,https://www.realestateview.com.au/property/yowie-bay/townhouse-15,realestateview.com.au
"$1,133,092",1133092.0,"824 Princes Highway, Yowie Bay NSW 2348",Yowie Bay,2,2,0,Townhouse,https://www.domain.com.au/property/yowie-bay/townhouse-16,domain.com.au
"$1,146,230 ONO",1146230.0,"781 Queen St, Yowie Bay NSW 2328",Yowie Bay,4,2,1,Villa,https://www.domain.com.au/property/yowie-bay/villa-17,domain.com.au
"$699,312",699312.0,"324 Beach Rd, Yowie Bay NSW 2570",Yowie Bay,3,4,2,Villa,https://www.rent.com.au/property/yowie-bay/villa-18,rent.com.au
"$1,121,366",1121366.0,"540 Main St, Yowie Bay NSW 2672",Yowie Bay,1,2,1,House,https://www.domain.com.au/property/yowie-bay/house-19,domain.com.au
"From $687,713",687713.0,"251 Victoria St, Yowie Bay NSW 2378",Yowie Bay,6,3,0,Penthouse,https://www.domain.com.au/property/yowie-bay/penthouse-20,domain.com.au
"Guide $1,225,850",1225850.0,"505 Military Rd, Yowie Bay NSW 2765",Yowie Bay,2,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/yowie-bay/apartment--unit--flat-21,realestateview.com.au
"$808,425 - $1,024,597",808425.0,"486 Park Ave, Yowie Bay NSW 2874",Yowie Bay,4,3,3,Villa,https://www.domain.com.au/property/yowie-bay/villa-22,domain.com.au
"$1,037,046 ONO",1037046.0,"275 Victoria St, Yowie Bay NSW 2510",Yowie Bay,4,2,1,Penthouse,https://www.domain.com.au/property/yowie-bay/penthouse-23,domain.com.au
"$959,387 ONO",959387.0,"943 Albert St, Yowie Bay NSW 2308",Yowie Bay,4,4,0,Penthouse,https://www.realestate.com.au/property/yowie-bay/penthouse-24,realestate.com.au
