price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,779,149 - $2,075,024",1779149.0,"653 Princes Highway, Zetland NSW 2160",Zetland,2,2,0,Villa,https://www.realestate.com.au/property/zetland/villa-0,realestate.com.au
"From $1,886,854",1886854.0,"261 Military Rd, Zetland NSW 2839",Zetland,3,4,2,Townhouse,https://www.rent.com.au/property/zetland/townhouse-1,rent.com.au
"$661,343",661343.0,"669 Beach Rd, Zetland NSW 2893",Zetland,6,2,4,Penthouse,https://www.realestate.com.au/property/zetland/penthouse-2,realestate.com.au
"From $703,010",703010.0,"296 The Boulevarde, Zetland NSW 2790",Zetland,3,3,1,Villa,https://www.domain.com.au/property/zetland/villa-3,domain.com.au
"$1,803,693",1803693.0,"578 Pacific Highway, Zetland NSW 2293",Zetland,0,1,1,Studio,https://www.realestate.com.au/property/zetland/studio-4,realestate.com.au
"$645,564 ONO",645564.0,"263 Elizabeth St, Zetland NSW 2971",Zetland,4,4,1,Penthouse,https://www.rent.com.au/property/zetland/penthouse-5,rent.com.au
"Guide $1,980,127",1980127.0,"904 Princes Highway, Zetland NSW 2572",Zetland,3,2,1,Villa,https://www.realestateview.com.au/property/zetland/villa-6,realestateview.com.au
"$556,677",556677.0,"922 Market St, Zetland NSW 2823",Zetland,1,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/zetland/apartment--unit--flat-7,realestateview.com.au
"From $1,028,265",1028265.0,"12 Edward St, Zetland NSW 2661",Zetland,3,4,4,Penthouse,https://www.rent.com.au/property/zetland/penthouse-8,rent.com.au
"$766,330 ONO",766330.0,"633 Beach Rd, Zetland NSW 2629",Zetland,3,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/zetland/apartment--unit--flat-9,rent.com.au
"$1,468,744 ONO",1468744.0,"301 King St, Zetland NSW 2823",Zetland,3,2,0,Penthouse,https://www.domain.com.au/property/zetland/penthouse-10,domain.com.au
"Guide $1,019,742",1019742.0,"787 Elizabeth St, Zetland NSW 2423",Zetland,0,1,1,Studio,https://www.realestateview.com.au/property/zetland/studio-13,realestateview.com.au
"Guide $1,558,166",1558166.0,"968 Princes Highway, Zetland NSW 2582",Zetland,0,1,0,Studio,https://www.realestate.com.au/property/zetland/studio-14,realestate.com.au
"From $1,737,281",1737281.0,"83 William St, Zetland NSW 2382",Zetland,0,1,3,Studio,https://www.realestate.com.au/property/zetland/studio-15,realestate.com.au
"$1,010,541 ONO",1010541.0,"216 Victoria St, Zetland NSW 2854",Zetland,3,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/zetland/apartment--unit--flat-16,realestateview.com.au
"$1,470,090 ONO",1470090.0,"971 Elizabeth St, Zetland NSW 2640",Zetland,1,2,2,Villa,https://www.domain.com.au/property/zetland/villa-17,domain.com.au
"$2,397,729",2397729.0,"181 William St, Zetland NSW 2730",Zetland,5,3,2,House,https://www.realestateview.com.au/property/zetland/house-18,realestateview.com.au
"$2,483,199",2483199.0,"801 Queen St, Zetland NSW 2355",Zetland,0,1,1,Studio,https://www.realestateview.com.au/property/zetland/studio-19,realestateview.com.au
"$2,325,533",2325533.0,"198 Main St, Zetland NSW 2283",Zetland,3,3,1,Townhouse,https://www.realestate.com.au/property/zetland/townhouse-20,realestate.com.au
"$1,329,355 - $1,473,648",1329355.0,"165 Military Rd, Zetland NSW 2500",Zetland,2,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/zetland/apartment--unit--flat-21,realestateview.com.au
"Guide $1,094,094",1094094.0,"865 Princes Highway, Zetland NSW 2542",Zetland,2,2,0,Townhouse,https://www.realestate.com.au/property/zetland/townhouse-22,realestate.com.au
"$1,045,825",1045825.0,"845 George St, Zetland NSW 2382",Zetland,6,4,4,Penthouse,https://www.realestate.com.au/property/zetland/penthouse-23,realestate.com.au
"$2,327,329 - $2,574,292",2327329.0,"694 The Boulevarde, Zetland NSW 2751",Zetland,4,2,2,Villa,https://www.realestate.com.au/property/zetland/villa-24,realestate.com.au
