price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,515,425",1515425.0,"425 Condamine St, Marrickville NSW 2888",Marrickville,2,2,1,Townhouse,https://www.realestate.com.au/property-townhouse-marrickville-1,realestate.com.au
"$502,164",502164.0,"606 Victoria St, Liverpool NSW 2328",Liverpool,5,2,2,Townhouse,https://www.realestate.com.au/property-townhouse-liverpool-2,realestate.com.au
"$1,248,591",1248591.0,"65 George St, La Perouse NSW 2327",La Perouse,6,2,1,Villa,https://www.realestate.com.au/property-villa-la-perouse-3,realestate.com.au
"$2,429,791",2429791.0,"735 The Boulevarde, Belmore NSW 2271",Belmore,5,4,2,House,https://www.realestate.com.au/property-house-belmore-4,realestate.com.au
"$1,149,960",1149960.0,"17 Victoria St, Double Bay NSW 2671",Double Bay,4,2,1,Villa,https://www.realestate.com.au/property-villa-double-bay-5,realestate.com.au
"$2,351,717",2351717.0,"985 Pittwater Rd, Pymble NSW 2862",Pymble,3,3,3,House,https://www.realestate.com.au/property-house-pymble-6,realestate.com.au
"$766,682",766682.0,"424 Edward St, St Peters NSW 2727",St Peters,4,3,1,Duplex,https://www.realestate.com.au/property-duplex-st-peters-7,realestate.com.au
"$2,245,308",2245308.0,"82 Liverpool Rd, Kyeemagh NSW 2804",Kyeemagh,5,4,4,House,https://www.realestate.com.au/property-house-kyeemagh-8,realestate.com.au
"$503,948",503948.0,"175 Crown St, Lakemba NSW 2854",Lakemba,0,1,4,Studio,https://www.realestate.com.au/property-studio-lakemba-10,realestate.com.au
"$568,097",568097.0,"209 Liverpool Rd, Newtown NSW 2149",Newtown,5,3,2,Townhouse,https://www.realestate.com.au/property-townhouse-newtown-11,realestate.com.au
"$964,417",964417.0,"373 Edward St, Punchbowl NSW 2729",Punchbowl,3,3,1,Townhouse,https://www.realestate.com.au/property-townhouse-punchbowl-12,realestate.com.au
"$961,888",961888.0,"709 Henry St, St Leonards NSW 2479",St Leonards,3,1,1,Villa,https://www.realestate.com.au/property-villa-st-leonards-14,realestate.com.au
"$747,460",747460.0,"34 Charles St, Manly NSW 2158",Manly,4,2,2,Apartment / Unit / Flat,https://www.realestate.com.au/property-apartment--unit--flat-manly-15,realestate.com.au
"$1,230,911",1230911.0,"653 High St, Erskineville NSW 2048",Erskineville,3,1,3,Apartment / Unit / Flat,https://www.realestate.com.au/property-apartment--unit--flat-erskineville-17,realestate.com.au
"$2,421,429",2421429.0,"563 Thomas St, Northbridge NSW 2225",Northbridge,4,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property-apartment--unit--flat-northbridge-18,realestate.com.au
"$550,538",550538.0,"916 Military Rd, Neutral Bay NSW 2449",Neutral Bay,6,1,0,Villa,https://www.realestate.com.au/property-villa-neutral-bay-19,realestate.com.au
"$1,924,122",1924122.0,"170 Crown St, Bellevue Hill NSW 2715",Bellevue Hill,4,4,0,Semi-Detached,https://www.realestate.com.au/property-semi-detached-bellevue-hill-20,realestate.com.au
"From $1,500,465",1500465.0,"923 Canterbury Rd, Roselands NSW 2930",Roselands,1,1,1,Duplex,https://www.realestate.com.au/property-duplex-roselands-21,realestate.com.au
"$2,405,726",2405726.0,"679 Henry St, Erskineville NSW 2292",Erskineville,5,3,2,Villa,https://www.realestate.com.au/property-villa-erskineville-22,realestate.com.au
"$1,882,116",1882116.0,"407 Spit Rd, Coogee NSW 2438",Coogee,4,1,2,Villa,https://www.realestate.com.au/property-villa-coogee-23,realestate.com.au
"From $989,748",989748.0,"225 Park Ave, Mount Druitt NSW 2667",Mount Druitt,0,1,0,Studio,https://www.realestate.com.au/property-studio-mount-druitt-24,realestate.com.au
"$2,151,833",2151833.0,"830 King St, Westmead NSW 2870",Westmead,0,1,1,Studio,https://www.realestate.com.au/property-studio-westmead-25,realestate.com.au
"$1,589,420",1589420.0,"964 Market St, Tempe NSW 2713",Tempe,1,1,3,Apartment / Unit / Flat,https://www.realestate.com.au/property-apartment--unit--flat-tempe-26,realestate.com.au
"$1,091,071",1091071.0,"692 Queen St, Botany NSW 2953",Botany,2,2,1,Villa,https://www.realestate.com.au/property-villa-botany-27,realestate.com.au
"From $2,115,013",2115013.0,"732 King St, Hunters Hill NSW 2015",Hunters Hill,6,2,0,House,https://www.realestate.com.au/property-house-hunters-hill-28,realestate.com.au
"$1,300,121",1300121.0,"47 Park Ave, Rhodes NSW 2226",Rhodes,2,1,2,Townhouse,https://www.realestate.com.au/property-townhouse-rhodes-29,realestate.com.au
