price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,528,823",1528823,"271 Princes Highway, Sans Souci NSW 2326",Sans Souci,6,4,1,Townhouse,https://www.realestateview.com.au/property-townhouse-sans-souci-1801,realestateview.com.au
Contact Agent,,"659 Barrenjoey Rd, Manly NSW 2785",Manly,2,2,1,Semi-Detached,https://www.realestateview.com.au/property-semi-detached-manly-1802,realestateview.com.au
"$926,668",926668,"994 Canterbury Rd, Sydney NSW 2286",Sydney,2,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-sydney-1803,realestateview.com.au
"$1,221,227",1221227,"901 George St, Doonside NSW 2493",Doonside,2,2,1,Villa,https://www.realestateview.com.au/property-villa-doonside-1804,realestateview.com.au
Contact Agent,,"294 Charles St, Kirribilli NSW 2508",Kirribilli,2,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-kirribilli-1805,realestateview.com.au
"From $2,293,560",2293560,"214 Frederick St, Bondi Beach NSW 2569",Bondi Beach,2,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-bondi-beach-1806,realestateview.com.au
"$933,395",933395,"502 High St, Auburn NSW 2684",Auburn,2,2,2,Townhouse,https://www.realestateview.com.au/property-townhouse-auburn-1807,realestateview.com.au
Under Contract,,"228 Condamine St, Narwee NSW 2593",Narwee,4,4,3,Townhouse,https://www.realestateview.com.au/property-townhouse-narwee-1808,realestateview.com.au
"$1,105,261",1105261,"878 Park Ave, Doonside NSW 2829",Doonside,5,2,1,Villa,https://www.realestateview.com.au/property-villa-doonside-1809,realestateview.com.au
"$2,316,757",2316757,"199 Pacific Highway, Clovelly NSW 2932",Clovelly,6,1,2,Semi-Detached,https://www.realestateview.com.au/property-semi-detached-clovelly-1810,realestateview.com.au
"From $1,479,041",1479041,"315 Canterbury Rd, Bondi Junction NSW 2645",Bondi Junction,4,2,3,Townhouse,https://www.realestateview.com.au/property-townhouse-bondi-junction-1811,realestateview.com.au
"$954,246",954246,"209 Anzac Parade, Seven Hills NSW 2644",Seven Hills,6,1,1,Townhouse,https://www.realestateview.com.au/property-townhouse-seven-hills-1812,realestateview.com.au
"$2,198,232",2198232,"909 King Georges Rd, Peakhurst NSW 2457",Peakhurst,2,3,2,Duplex,https://www.realestateview.com.au/property-duplex-peakhurst-1813,realestateview.com.au
"$1,738,044",1738044,"158 Church St, Concord NSW 2114",Concord,0,1,1,Studio,https://www.realestateview.com.au/property-studio-concord-1814,realestateview.com.au
Contact Agent,,"482 Beach Rd, Wollstonecraft NSW 2633",Wollstonecraft,0,1,0,Studio,https://www.realestateview.com.au/property-studio-wollstonecraft-1815,realestateview.com.au
"$463,379",463379,"812 Barrenjoey Rd, Wollstonecraft NSW 2325",Wollstonecraft,0,1,0,Studio,https://www.realestateview.com.au/property-studio-wollstonecraft-1816,realestateview.com.au
"From $876,392",876392,"328 Thomas St, Epping NSW 2492",Epping,0,1,0,Studio,https://www.realestateview.com.au/property-studio-epping-1817,realestateview.com.au
"$2,432,263",2432263,"51 Princes Highway, Putney NSW 2231",Putney,3,3,1,Semi-Detached,https://www.realestateview.com.au/property-semi-detached-putney-1818,realestateview.com.au
"$1,569,575",1569575,"425 Warringah Rd, Campsie NSW 2008",Campsie,2,2,1,Semi-Detached,https://www.realestateview.com.au/property-semi-detached-campsie-1819,realestateview.com.au
"$1,089,469",1089469,"555 Frederick St, Wiley Park NSW 2536",Wiley Park,3,3,2,Duplex,https://www.realestateview.com.au/property-duplex-wiley-park-1820,realestateview.com.au
"From $2,203,567",2203567,"159 Thomas St, Brighton-Le-Sands NSW 2903",Brighton-Le-Sands,3,2,0,Terrace,https://www.realestateview.com.au/property-terrace-brighton-le-sands-1821,realestateview.com.au
"From $1,103,879",1103879,"868 Pittwater Rd, Chatswood NSW 2440",Chatswood,4,2,2,Duplex,https://www.realestateview.com.au/property-duplex-chatswood-1822,realestateview.com.au
"$1,065,022",1065022,"42 Beach Rd, Willoughby NSW 2639",Willoughby,2,1,0,Duplex,https://www.realestateview.com.au/property-duplex-willoughby-1823,realestateview.com.au
"$419,698",419698,"873 Condamine St, Ryde NSW 2819",Ryde,4,3,1,Villa,https://www.realestateview.com.au/property-villa-ryde-1824,realestateview.com.au
"$1,622,599",1622599,"851 Main St, Kirribilli NSW 2628",Kirribilli,2,2,2,Villa,https://www.realestateview.com.au/property-villa-kirribilli-1825,realestateview.com.au
"$2,395,719",2395719,"515 James St, Belmore NSW 2710",Belmore,6,3,2,Terrace,https://www.realestateview.com.au/property-terrace-belmore-1826,realestateview.com.au
"$1,992,107",1992107,"416 Victoria St, Marrickville NSW 2100",Marrickville,4,3,4,Townhouse,https://www.realestateview.com.au/property-townhouse-marrickville-1827,realestateview.com.au
"$1,708,976",1708976,"993 William St, Ramsgate NSW 2139",Ramsgate,5,3,4,Villa,https://www.realestateview.com.au/property-villa-ramsgate-1828,realestateview.com.au
"$2,023,772",2023772,"180 Ocean Rd, Middle Cove NSW 2690",Middle Cove,2,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-middle-cove-1829,realestateview.com.au
"$1,746,110",1746110,"910 William St, Dee Why NSW 2614",Dee Why,6,2,2,Terrace,https://www.realestateview.com.au/property-terrace-dee-why-1830,realestateview.com.au
Under Contract,,"326 Edward St, Homebush NSW 2395",Homebush,2,1,1,Duplex,https://www.realestateview.com.au/property-duplex-homebush-1831,realestateview.com.au
"$577,041",577041,"518 Military Rd, Artarmon NSW 2126",Artarmon,5,1,2,Villa,https://www.realestateview.com.au/property-villa-artarmon-1832,realestateview.com.au
"$1,731,583",1731583,"144 King Georges Rd, Pymble NSW 2353",Pymble,0,1,1,Studio,https://www.realestateview.com.au/property-studio-pymble-1833,realestateview.com.au
"$713,124",713124,"590 Oxford St, Mount Druitt NSW 2397",Mount Druitt,4,1,4,Terrace,https://www.realestateview.com.au/property-terrace-mount-druitt-1834,realestateview.com.au
"$1,922,442",1922442,"163 Charles St, Hornsby NSW 2837",Hornsby,3,3,1,Semi-Detached,https://www.realestateview.com.au/property-semi-detached-hornsby-1835,realestateview.com.au
"$1,493,102",1493102,"772 Main St, Ashfield NSW 2042",Ashfield,4,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-ashfield-1836,realestateview.com.au
Under Contract,,"892 Beach Rd, Malabar NSW 2500",Malabar,2,1,3,Terrace,https://www.realestateview.com.au/property-terrace-malabar-1837,realestateview.com.au
"$1,566,865",1566865,"569 King St, Tempe NSW 2101",Tempe,2,2,1,Semi-Detached,https://www.realestateview.com.au/property-semi-detached-tempe-1838,realestateview.com.au
"$699,183",699183,"408 Thomas St, Campsie NSW 2722",Campsie,4,2,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-campsie-1839,realestateview.com.au
"$2,193,652",2193652,"423 George St, Milsons Point NSW 2036",Milsons Point,4,4,1,Villa,https://www.realestateview.com.au/property-villa-milsons-point-1840,realestateview.com.au
"$799,936",799936,"816 Park Ave, Westmead NSW 2950",Westmead,2,1,0,Semi-Detached,https://www.realestateview.com.au/property-semi-detached-westmead-1841,realestateview.com.au
"$1,618,454",1618454,"343 Albert St, Roselands NSW 2004",Roselands,6,2,3,Semi-Detached,https://www.realestateview.com.au/property-semi-detached-roselands-1842,realestateview.com.au
POA,,"924 Market St, Woolwich NSW 2179",Woolwich,4,1,1,Townhouse,https://www.realestateview.com.au/property-townhouse-woolwich-1843,realestateview.com.au
"$815,632",815632,"562 Pittwater Rd, Seven Hills NSW 2790",Seven Hills,5,2,3,Terrace,https://www.realestateview.com.au/property-terrace-seven-hills-1844,realestateview.com.au
"From $2,419,405",2419405,"993 Pacific Highway, Tempe NSW 2713",Tempe,4,2,1,Villa,https://www.realestateview.com.au/property-villa-tempe-1845,realestateview.com.au
"$1,140,729",1140729,"688 George St, Forest Road NSW 2831",Forest Road,0,1,0,Studio,https://www.realestateview.com.au/property-studio-forest-road-1846,realestateview.com.au
"$524,232",524232,"742 William St, Chatswood NSW 2610",Chatswood,2,2,2,House,https://www.realestateview.com.au/property-house-chatswood-1847,realestateview.com.au
"$1,409,856",1409856,"655 Railway St, Forest Road NSW 2616",Forest Road,3,1,2,Villa,https://www.realestateview.com.au/property-villa-forest-road-1848,realestateview.com.au
"$2,143,587",2143587,"922 James St, Wentworthville NSW 2191",Wentworthville,1,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-wentworthville-1849,realestateview.com.au
"$1,291,961",1291961,"700 Condamine St, Belmore NSW 2192",Belmore,3,3,0,Villa,https://www.realestateview.com.au/property-villa-belmore-1850,realestateview.com.au
Under Contract,,"6 Condamine St, Artarmon NSW 2230",Artarmon,0,1,1,Studio,https://www.realestateview.com.au/property-studio-artarmon-1851,realestateview.com.au
"$2,088,231",2088231,"4 Railway St, Forest Road NSW 2667",Forest Road,3,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-forest-road-1852,realestateview.com.au
"$853,552",853552,"336 Church St, Auburn NSW 2063",Auburn,6,2,3,Semi-Detached,https://www.realestateview.com.au/property-semi-detached-auburn-1853,realestateview.com.au
"$1,582,681",1582681,"886 Warringah Rd, Tempe NSW 2040",Tempe,4,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-tempe-1854,realestateview.com.au
"$3,676,312",3676312,"513 Princes Highway, Point Piper NSW 2480",Point Piper,0,1,0,Studio,https://www.realestateview.com.au/property-studio-point-piper-1855,realestateview.com.au
"$2,487,711",2487711,"29 The Boulevarde, Putney NSW 2354",Putney,2,1,0,House,https://www.realestateview.com.au/property-house-putney-1856,realestateview.com.au
"$483,371",483371,"511 Military Rd, Kingsgrove NSW 2197",Kingsgrove,0,1,1,Studio,https://www.realestateview.com.au/property-studio-kingsgrove-1857,realestateview.com.au
"$2,491,292",2491292,"104 Frederick St, Epping NSW 2491",Epping,4,4,1,Semi-Detached,https://www.realestateview.com.au/property-semi-detached-epping-1858,realestateview.com.au
"From $1,717,628",1717628,"933 High St, Monterey NSW 2459",Monterey,3,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-monterey-1859,realestateview.com.au
Contact Agent,,"836 Crown St, Killara NSW 2739",Killara,0,1,2,Studio,https://www.realestateview.com.au/property-studio-killara-1860,realestateview.com.au
"$1,377,208",1377208,"537 Oxford St, Dee Why NSW 2350",Dee Why,0,1,2,Studio,https://www.realestateview.com.au/property-studio-dee-why-1861,realestateview.com.au
"$1,875,814",1875814,"934 James St, Concord NSW 2861",Concord,4,1,1,Semi-Detached,https://www.realestateview.com.au/property-semi-detached-concord-1862,realestateview.com.au
"$2,214,151",2214151,"32 George St, Punchbowl NSW 2333",Punchbowl,3,3,1,Duplex,https://www.realestateview.com.au/property-duplex-punchbowl-1863,realestateview.com.au
"$2,156,910",2156910,"750 Park Ave, Clovelly NSW 2529",Clovelly,2,1,1,House,https://www.realestateview.com.au/property-house-clovelly-1864,realestateview.com.au
"$1,984,306",1984306,"899 Charles St, Epping NSW 2111",Epping,2,1,0,Villa,https://www.realestateview.com.au/property-villa-epping-1865,realestateview.com.au
"$2,375,181",2375181,"445 Forest Rd, Forest Road NSW 2688",Forest Road,0,1,2,Studio,https://www.realestateview.com.au/property-studio-forest-road-1866,realestateview.com.au
"$897,589",897589,"167 Parramatta Rd, Blacktown NSW 2095",Blacktown,6,3,3,Semi-Detached,https://www.realestateview.com.au/property-semi-detached-blacktown-1867,realestateview.com.au
"$789,482",789482,"875 The Boulevarde, Little Bay NSW 2721",Little Bay,3,3,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-little-bay-1868,realestateview.com.au
Auction,,"991 Park Ave, Mount Druitt NSW 2852",Mount Druitt,3,1,1,Villa,https://www.realestateview.com.au/property-villa-mount-druitt-1869,realestateview.com.au
"$2,415,913",2415913,"879 Victoria St, Canterbury NSW 2349",Canterbury,0,1,1,Studio,https://www.realestateview.com.au/property-studio-canterbury-1870,realestateview.com.au
Contact Agent,,"900 Warringah Rd, Canterbury NSW 2449",Canterbury,2,2,0,House,https://www.realestateview.com.au/property-house-canterbury-1871,realestateview.com.au
"$1,512,040",1512040,"659 Edward St, Crows Nest NSW 2660",Crows Nest,4,4,3,Villa,https://www.realestateview.com.au/property-villa-crows-nest-1872,realestateview.com.au
"$1,198,488",1198488,"934 William St, Doonside NSW 2135",Doonside,4,1,3,Duplex,https://www.realestateview.com.au/property-duplex-doonside-1873,realestateview.com.au
"$1,463,027",1463027,"152 King Georges Rd, Double Bay NSW 2470",Double Bay,3,1,1,House,https://www.realestateview.com.au/property-house-double-bay-1874,realestateview.com.au
"$2,497,974",2497974,"958 Pacific Highway, Toongabbie NSW 2283",Toongabbie,4,3,0,Townhouse,https://www.realestateview.com.au/property-townhouse-toongabbie-1875,realestateview.com.au
POA,,"154 Princes Highway, Gordon NSW 2492",Gordon,4,3,3,House,https://www.realestateview.com.au/property-house-gordon-1876,realestateview.com.au
"$472,409",472409,"749 Warringah Rd, Lavender Bay NSW 2763",Lavender Bay,4,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-lavender-bay-1877,realestateview.com.au
"$499,187",499187,"854 Henry St, Kogarah NSW 2535",Kogarah,3,1,1,Townhouse,https://www.realestateview.com.au/property-townhouse-kogarah-1878,realestateview.com.au
"$1,285,039",1285039,"957 Forest Rd, Homebush NSW 2400",Homebush,2,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-homebush-1879,realestateview.com.au
"$1,017,764",1017764,"851 Forest Rd, Coogee NSW 2391",Coogee,4,1,1,Terrace,https://www.realestateview.com.au/property-terrace-coogee-1880,realestateview.com.au
"$1,209,697",1209697,"727 Park Ave, Granville NSW 2070",Granville,1,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-granville-1881,realestateview.com.au
"$1,972,721",1972721,"53 Princes Highway, Rose Bay NSW 2692",Rose Bay,2,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-rose-bay-1882,realestateview.com.au
POA,,"983 Pittwater Rd, Woolwich NSW 2567",Woolwich,4,1,1,Townhouse,https://www.realestateview.com.au/property-townhouse-woolwich-1883,realestateview.com.au
"$1,269,885",1269885,"66 Railway St, Castle Cove NSW 2021",Castle Cove,0,1,0,Studio,https://www.realestateview.com.au/property-studio-castle-cove-1884,realestateview.com.au
Auction,,"410 Condamine St, Ashbury NSW 2547",Ashbury,3,3,1,Villa,https://www.realestateview.com.au/property-villa-ashbury-1885,realestateview.com.au
"From $752,613",752613,"234 Henry St, Blacktown NSW 2476",Blacktown,6,1,1,Villa,https://www.realestateview.com.au/property-villa-blacktown-1886,realestateview.com.au
Under Contract,,"551 Railway St, Tempe NSW 2753",Tempe,4,3,3,Duplex,https://www.realestateview.com.au/property-duplex-tempe-1887,realestateview.com.au
POA,,"735 Beach Rd, Brighton-Le-Sands NSW 2318",Brighton-Le-Sands,5,4,2,Townhouse,https://www.realestateview.com.au/property-townhouse-brighton-le-sands-1888,realestateview.com.au
"From $1,383,222",1383222,"959 Elizabeth St, Gordon NSW 2666",Gordon,3,3,0,House,https://www.realestateview.com.au/property-house-gordon-1889,realestateview.com.au
Contact Agent,,"782 Main St, Kirribilli NSW 2406",Kirribilli,3,2,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-kirribilli-1890,realestateview.com.au
"$1,056,557",1056557,"829 Crown St, Gordon NSW 2080",Gordon,0,1,1,Studio,https://www.realestateview.com.au/property-studio-gordon-1891,realestateview.com.au
"From $1,961,696",1961696,"611 Liverpool Rd, Cronulla NSW 2823",Cronulla,4,1,4,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-cronulla-1892,realestateview.com.au
POA,,"272 Victoria St, Liverpool NSW 2972",Liverpool,3,1,3,House,https://www.realestateview.com.au/property-house-liverpool-1893,realestateview.com.au
Under Contract,,"248 Edward St, Watsons Bay NSW 2497",Watsons Bay,0,1,0,Studio,https://www.realestateview.com.au/property-studio-watsons-bay-1894,realestateview.com.au
"From $1,831,068",1831068,"956 Market St, Mortdale NSW 2049",Mortdale,0,1,0,Studio,https://www.realestateview.com.au/property-studio-mortdale-1895,realestateview.com.au
"From $967,185",967185,"997 King Georges Rd, Rooty Hill NSW 2383",Rooty Hill,0,1,0,Studio,https://www.realestateview.com.au/property-studio-rooty-hill-1896,realestateview.com.au
"$2,304,909",2304909,"971 King St, Mortdale NSW 2134",Mortdale,2,1,0,Semi-Detached,https://www.realestateview.com.au/property-semi-detached-mortdale-1897,realestateview.com.au
"$984,133",984133,"490 Anzac Parade, Roseville NSW 2467",Roseville,1,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-roseville-1898,realestateview.com.au
"$1,290,788",1290788,"612 Forest Rd, Little Bay NSW 2921",Little Bay,3,3,2,Semi-Detached,https://www.realestateview.com.au/property-semi-detached-little-bay-1899,realestateview.com.au
"$1,712,653",1712653,"590 Elizabeth St, Lane Cove NSW 2705",Lane Cove,4,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property-apartment--unit--flat-lane-cove-1900,realestateview.com.au
"$1,417,756",1417756,"295 Parramatta Rd, Paddington NSW 2056",Paddington,0,1,1,Studio,https://www.realestateview.com.au/property-studio-paddington-1901,realestateview.com.au
"From $712,129",712129,"969 James St, Wentworthville NSW 2317",Wentworthville,0,1,2,Studio,https://www.realestateview.com.au/property-studio-wentworthville-1902,realestateview.com.au
