price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,056,796",1056796,"35 Liverpool Rd, Punchbowl NSW 2573",Punchbowl,6,2,4,Townhouse,https://www.rent.com.au/property-townhouse-punchbowl-1401,rent.com.au
"$1,890,972",1890972,"369 Military Rd, Willoughby NSW 2016",Willoughby,3,1,2,Townhouse,https://www.rent.com.au/property-townhouse-willoughby-1402,rent.com.au
POA,,"860 Mona Vale Rd, Summer Hill NSW 2278",Summer Hill,3,1,2,Terrace,https://www.rent.com.au/property-terrace-summer-hill-1403,rent.com.au
"$776,316",776316,"12 Princes Highway, Punchbowl NSW 2428",Punchbowl,5,1,0,Terrace,https://www.rent.com.au/property-terrace-punchbowl-1404,rent.com.au
"$2,196,295",2196295,"235 Thomas St, Lugarno NSW 2322",Lugarno,5,4,2,Terrace,https://www.rent.com.au/property-terrace-lugarno-1405,rent.com.au
"$439,739",439739,"674 Barrenjoey Rd, Blacktown NSW 2008",Blacktown,4,4,2,Terrace,https://www.rent.com.au/property-terrace-blacktown-1406,rent.com.au
Auction,,"193 Forest Rd, Bellevue Hill NSW 2896",Bellevue Hill,2,1,2,Villa,https://www.rent.com.au/property-villa-bellevue-hill-1407,rent.com.au
"$2,096,557",2096557,"818 Anzac Parade, Westmead NSW 2718",Westmead,0,1,2,Studio,https://www.rent.com.au/property-studio-westmead-1408,rent.com.au
"$484,728",484728,"222 Main St, Brighton-Le-Sands NSW 2939",Brighton-Le-Sands,2,2,2,House,https://www.rent.com.au/property-house-brighton-le-sands-1409,rent.com.au
"$895,585",895585,"35 Condamine St, Concord NSW 2577",Concord,0,1,2,Studio,https://www.rent.com.au/property-studio-concord-1410,rent.com.au
"From $2,280,867",2280867,"312 George St, Coogee NSW 2715",Coogee,6,2,0,Villa,https://www.rent.com.au/property-villa-coogee-1411,rent.com.au
"From $516,933",516933,"715 Thomas St, Neutral Bay NSW 2071",Neutral Bay,2,2,2,Villa,https://www.rent.com.au/property-villa-neutral-bay-1412,rent.com.au
"$622,202",622202,"769 Pittwater Rd, Bankstown NSW 2144",Bankstown,4,3,0,Duplex,https://www.rent.com.au/property-duplex-bankstown-1413,rent.com.au
"$1,452,411",1452411,"773 Park Ave, Alexandria NSW 2504",Alexandria,5,4,1,Terrace,https://www.rent.com.au/property-terrace-alexandria-1414,rent.com.au
"$985,424",985424,"212 Military Rd, Seven Hills NSW 2442",Seven Hills,0,1,1,Studio,https://www.rent.com.au/property-studio-seven-hills-1415,rent.com.au
"$1,851,837",1851837,"480 James St, Killara NSW 2432",Killara,3,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property-apartment--unit--flat-killara-1416,rent.com.au
"From $2,475,674",2475674,"39 Park Ave, Tennyson Point NSW 2133",Tennyson Point,6,3,0,Villa,https://www.rent.com.au/property-villa-tennyson-point-1417,rent.com.au
"From $1,419,348",1419348,"77 Beach Rd, Dee Why NSW 2072",Dee Why,4,2,2,Terrace,https://www.rent.com.au/property-terrace-dee-why-1418,rent.com.au
"$970,031",970031,"775 Henry St, Dover Heights NSW 2511",Dover Heights,4,3,1,Semi-Detached,https://www.rent.com.au/property-semi-detached-dover-heights-1419,rent.com.au
"$430,965",430965,"515 Warringah Rd, Westmead NSW 2963",Westmead,2,2,4,Duplex,https://www.rent.com.au/property-duplex-westmead-1420,rent.com.au
"$1,395,341",1395341,"551 Warringah Rd, West Ryde NSW 2801",West Ryde,0,1,2,Studio,https://www.rent.com.au/property-studio-west-ryde-1421,rent.com.au
"$2,382,318",2382318,"279 Barrenjoey Rd, Cammeray NSW 2484",Cammeray,3,3,2,Villa,https://www.rent.com.au/property-villa-cammeray-1422,rent.com.au
"From $423,533",423533,"986 Charles St, Hurstville Grove NSW 2046",Hurstville Grove,2,1,2,Townhouse,https://www.rent.com.au/property-townhouse-hurstville-grove-1423,rent.com.au
"$406,387",406387,"8 James St, Rhodes NSW 2789",Rhodes,1,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property-apartment--unit--flat-rhodes-1424,rent.com.au
"$816,589",816589,"450 John St, Tempe NSW 2049",Tempe,2,1,2,Duplex,https://www.rent.com.au/property-duplex-tempe-1425,rent.com.au
"$1,520,165",1520165,"3 Oxford St, Westmead NSW 2353",Westmead,6,4,3,Villa,https://www.rent.com.au/property-villa-westmead-1426,rent.com.au
