price,address,suburb,bedrooms,bathrooms,parking,property_type,link,price_numeric
"$695,000","11/243a Old South Head Road, BONDINSW2026",Bondi,1,1,0,Apartment / Unit / Flat,https://www.domain.com.au/11-243a-old-south-head-road-bondi-nsw-2026-2020104067?topspot=1,695000.0
"$3,000,000","275 Bondi Road, BONDINSW2026",Bondi,2,2,2,Block of units,https://www.domain.com.au/275-bondi-road-bondi-nsw-2026-2019893314?topspot=1,3000000.0
Contact Agent,"12/15-17 Denham Street, BONDINSW2026",Bondi,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/12-15-17-denham-street-bondi-nsw-2026-2020119896,
Contact Agent,"5/240-242 Bondi Road, BONDINSW2026",Bondi,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/5-240-242-bondi-road-bondi-nsw-2026-2020119835,
"$2,750,000","5605/34 Wellington Street, BONDINSW2026",Bondi,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/5605-34-wellington-street-bondi-nsw-2026-2020096567,2750000.0
Contact Agent,"7/17 Penkivil Street, BONDINSW2026",Bondi,2,1,0,Apartment / Unit / Flat,https://www.domain.com.au/7-17-penkivil-street-bondi-nsw-2026-2020095045,
"$1,400,000","6/211-221 Old South Head Road, BONDINSW2026",Bondi,3,2,1,Apartment / Unit / Flat,https://www.domain.com.au/6-211-221-old-south-head-road-bondi-nsw-2026-2020033489,1400000.0
"$1,695,000","7/24-32 Flood Street, BONDINSW2026",Bondi,2,2,1,Retirement Living,https://www.domain.com.au/7-24-32-flood-street-bondi-nsw-2026-2020002991,1695000.0
Contact Agent,"10 + 12 Penkivil Street, BONDINSW2026",Bondi,19,9,5,House,https://www.domain.com.au/10-12-penkivil-street-bondi-nsw-2026-2019917630,
"$3,000,000","275 Bondi Road, BONDINSW2026",Bondi,2,2,2,Block of units,https://www.domain.com.au/275-bondi-road-bondi-nsw-2026-2019893314,3000000.0
Contact Agent,"2/10 Moore Street, BONDINSW2026",Bondi,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/2-10-moore-street-bondi-nsw-2026-2019414032,
"$1,150,000","5/211 Old South Head Road, BONDINSW2026",Bondi,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/5-211-old-south-head-road-bondi-nsw-2026-2019964968,1150000.0
"$670,000","7/162 Bondi Road, BONDINSW2026",Bondi,1,1,0,Apartment / Unit / Flat,https://www.domain.com.au/7-162-bondi-road-bondi-nsw-2026-2019900704,670000.0
"$2,795,000","23 Ocean Street North, BONDINSW2026",Bondi,3,2,0,House,https://www.domain.com.au/23-ocean-street-north-bondi-nsw-2026-2019805350,2795000.0
"$3,800,000 - $4,000,000","2102/30 Wellington Street, BONDINSW2026",Bondi,3,2,2,Townhouse,https://www.domain.com.au/2102-30-wellington-street-bondi-nsw-2026-2019911088,3800000.0
"$1,050,000","11/332 Bondi Road, BONDINSW2026",Bondi,2,1,0,Apartment / Unit / Flat,https://www.domain.com.au/11-332-bondi-road-bondi-nsw-2026-2019908568,1050000.0
"$1,985,000","10/315 Bondi Road, BONDINSW2026",Bondi,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/10-315-bondi-road-bondi-nsw-2026-2019910077,1985000.0
"$1,015,000","21/211 Old South Head Road, BONDINSW2026",Bondi,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/21-211-old-south-head-road-bondi-nsw-2026-2019916420,1015000.0
"$1,232,000","3C/39-41 Penkivil Street, BONDINSW2026",Bondi,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/3c-39-41-penkivil-street-bondi-nsw-2026-2019948234,1232000.0
"$695,000","11/243a Old South Head Road, BONDINSW2026",Bondi,1,1,0,Apartment / Unit / Flat,https://www.domain.com.au/11-243a-old-south-head-road-bondi-nsw-2026-2020104067,695000.0
Contact Agent,"1609/20 Ocean St North, BONDINSW2026",Bondi,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/1609-20-ocean-st-north-bondi-nsw-2026-2020096550,
"For Sale $1,995,000","34/53-63 Penkivil Street, BONDINSW2026",Bondi,3,2,1,Apartment / Unit / Flat,https://www.domain.com.au/34-53-63-penkivil-street-bondi-nsw-2026-2019933897,1995000.0
For Sale $2.1m - 2.2m,"9/285-295 Bondi Road, BONDINSW2026",Bondi,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/9-285-295-bondi-road-bondi-nsw-2026-2019015084,2100000.0
Contact Agent,"3/31 Hollywood Avenue, BONDI JUNCTIONNSW2022",Bondi Junction,1,1,0,Apartment / Unit / Flat,https://www.domain.com.au/3-31-hollywood-avenue-bondi-junction-nsw-2022-2020121075,
